iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,7.52451e-01,4.26819e-01,1.46904e+02,6.78411e+00
2.00000e+02,9.70847e-01,5.50927e-01,1.65610e+02,9.65548e+00
3.00000e+02,5.70010e-01,3.35516e-01,1.75805e+02,3.67236e+00
4.00000e+02,8.07503e-01,2.59663e-01,4.00079e+02,7.68750e+00
5.00000e+02,8.19561e-01,3.24386e-01,-3.72119e+02,8.68842e+00
6.00000e+02,5.74827e-01,2.25047e-01,1.47936e+02,5.15475e+00
7.00000e+02,3.88392e-01,1.88171e-01,-7.45711e+00,3.51484e+00
8.00000e+02,3.40698e-01,1.84133e-01,2.52370e+02,1.92697e+00
9.00000e+02,4.77365e-01,1.76846e-01,-2.08114e+02,3.89769e+00
1.00000e+03,6.05397e-01,2.22203e-01,1.36908e+02,7.15641e+00
1.10000e+03,3.66532e-01,1.71056e-01,2.28986e+01,2.75374e+00
1.20000e+03,2.74195e-01,8.56424e-02,-9.15542e+01,1.50130e+00
1.30000e+03,1.53617e-01,5.51476e-02,6.46923e+01,1.21679e+00
1.40000e+03,1.37528e-01,4.95832e-02,1.40379e+02,3.87112e-01
1.50000e+03,1.80001e-01,4.47414e-02,-1.08940e+01,7.53811e-01
1.60000e+03,1.31197e-01,5.11026e-02,6.08158e-01,4.35050e-01
1.70000e+03,1.71099e-01,6.54190e-02,-2.49382e+01,5.63070e-01
1.80000e+03,1.20029e-01,6.43880e-02,1.65003e+01,5.98689e-01
1.90000e+03,1.44988e-01,6.45433e-02,3.86938e+00,3.51087e-01
2.00000e+03,1.14296e-01,5.52230e-02,2.51526e+01,4.12223e-01
2.10000e+03,6.69378e-02,3.27240e-02,3.26028e+01,2.11559e-01
2.20000e+03,6.03046e-02,2.77577e-02,3.19320e+01,5.65844e-02
2.30000e+03,3.81388e-02,1.17337e-02,2.50079e+01,3.81460e-01
2.40000e+03,5.50009e-02,2.54519e-02,4.46618e+01,5.19495e-01
2.50000e+03,4.77245e-02,2.12464e-02,4.67462e+01,3.09283e-01
2.60000e+03,6.29419e-02,2.54182e-02,3.45095e+01,2.77287e-01
2.70000e+03,4.53032e-02,2.09748e-02,5.57077e+01,1.79791e-01
2.80000e+03,2.29160e-02,1.26807e-02,4.25590e+01,2.05959e-01
2.90000e+03,2.74902e-02,1.15246e-02,6.09660e+01,1.73842e-01
3.00000e+03,3.37370e-02,1.37779e-02,6.86776e+01,1.86341e-01
3.10000e+03,4.50044e-02,1.42766e-02,9.38359e+01,1.67316e-01
3.20000e+03,8.03117e-02,3.47969e-02,1.12148e+02,2.87737e-01
3.30000e+03,4.32889e-02,1.75668e-02,2.31301e+02,2.73106e-01
3.40000e+03,3.12911e-02,1.08445e-02,2.10326e+02,6.65455e-02
3.50000e+03,3.24604e-02,1.32851e-02,2.03421e+02,1.15477e-01
3.60000e+03,3.99466e-02,1.45129e-02,1.99178e+02,1.91953e-01
3.70000e+03,4.79750e-02,1.49105e-02,1.94853e+02,6.51094e-02
3.80000e+03,4.76410e-02,1.29223e-02,2.01597e+02,4.48039e-01
3.90000e+03,3.15939e-02,1.07934e-02,1.58929e+02,1.69447e-01
4.00000e+03,3.30384e-02,1.17546e-02,1.40281e+02,1.33505e-01
4.10000e+03,2.56792e-02,9.24181e-03,1.56971e+02,2.16565e-01
4.20000e+03,3.27243e-02,1.40753e-02,5.41988e+01,1.91842e-01
4.30000e+03,1.23083e-02,4.43734e-03,6.12239e+01,1.37959e-01
4.40000e+03,2.86699e-02,1.27051e-02,-7.01401e+00,1.76374e-01
4.50000e+03,3.98128e-02,1.24300e-02,-1.50527e+01,2.30004e-01
4.60000e+03,4.84138e-02,1.59037e-02,-3.40476e+01,1.22124e-01
4.70000e+03,4.52985e-02,1.48759e-02,-7.88339e+01,1.08948e-01
4.80000e+03,5.15433e-02,2.07037e-02,-1.71822e+02,9.28683e-02
4.90000e+03,5.01061e-02,2.31398e-02,-1.29230e+02,1.27791e-01
5.00000e+03,4.60495e-02,2.15667e-02,-6.89089e+01,3.47714e-01
5.10000e+03,7.08620e-02,3.35697e-02,-1.19213e+02,2.58712e-01
5.20000e+03,6.33848e-02,2.73776e-02,-2.41728e+02,1.99372e-01
5.30000e+03,1.32246e-01,4.19703e-02,-2.69898e+02,6.28611e-01
5.40000e+03,1.95170e-01,5.77455e-02,-2.27960e+02,4.05385e-01
5.50000e+03,1.82037e-01,5.54451e-02,-1.49596e+02,4.36725e-01
5.60000e+03,9.28832e-02,4.08630e-02,-1.61888e+02,1.12609e+00
5.70000e+03,1.09649e-01,3.29997e-02,-2.44201e+02,4.33202e-01
5.80000e+03,7.17579e-02,2.31093e-02,-1.44284e+02,2.09737e-01
5.90000e+03,6.60099e-02,2.42024e-02,-1.49857e+02,4.18030e-01
6.00000e+03,5.12789e-02,1.51537e-02,-1.44915e+02,1.21133e-01
6.10000e+03,3.63664e-02,2.45579e-02,-8.86260e+01,6.74652e-02
6.20000e+03,3.63864e-02,2.11216e-02,-7.68798e+01,1.92918e-01
6.30000e+03,2.87843e-02,9.79394e-03,-4.82113e+01,8.72819e-02
6.40000e+03,2.61592e-02,1.14225e-02,-5.29538e+01,1.81751e-01
6.50000e+03,2.15660e-02,8.08783e-03,-2.26216e+01,8.59720e-02
6.60000e+03,2.18768e-02,7.98292e-03,-1.59278e+01,8.73001e-02
6.70000e+03,2.27984e-02,9.75173e-03,4.30019e+01,1.65746e-01
6.80000e+03,2.02814e-02,5.87937e-03,7.87694e+01,8.84582e-02
6.90000e+03,1.90767e-02,9.41094e-03,1.06351e+02,1.40277e-01
7.00000e+03,1.28512e-02,6.31744e-03,1.06050e+02,1.11494e-01
7.10000e+03,1.96503e-02,5.62859e-03,1.45337e+02,9.75349e-02
7.20000e+03,2.63484e-02,1.40786e-02,1.80913e+02,1.31021e-01
7.30000e+03,2.56490e-02,8.89260e-03,2.01962e+02,1.16101e-01
7.40000e+03,3.40339e-02,1.48725e-02,2.04488e+02,1.39077e-01
7.50000e+03,3.90188e-02,1.88740e-02,2.34855e+02,1.68296e-01
7.60000e+03,5.31837e-02,1.55425e-02,2.59016e+02,2.07031e-01
7.70000e+03,3.25866e-02,1.09695e-02,2.60396e+02,1.83121e-01
7.80000e+03,2.79584e-02,8.64266e-03,2.67862e+02,7.52139e-02
7.90000e+03,2.81074e-02,1.11626e-02,2.54979e+02,2.21427e-01
8.00000e+03,1.62102e-02,6.34295e-03,2.67171e+02,1.17335e-01
8.10000e+03,1.74605e-02,5.63951e-03,2.70242e+02,7.99959e-02
8.20000e+03,2.20480e-02,5.92725e-03,2.75852e+02,1.81672e-01
8.30000e+03,2.07061e-02,7.04017e-03,2.96429e+02,1.50592e-01
8.40000e+03,2.42215e-02,9.85144e-03,3.00835e+02,9.39451e-02
8.50000e+03,2.62632e-02,1.07129e-02,2.89223e+02,2.95310e-01
8.60000e+03,2.33020e-02,1.27919e-02,2.54503e+02,7.50191e-02
8.70000e+03,2.33633e-02,1.02716e-02,2.76831e+02,3.87552e-01
8.80000e+03,2.58780e-02,9.86559e-03,2.41440e+02,1.90988e-01
8.90000e+03,1.43777e-02,6.00042e-03,2.52285e+02,6.88691e-02
9.00000e+03,1.45798e-02,5.87503e-03,2.89814e+02,1.39065e-01
9.10000e+03,1.47185e-02,5.06383e-03,2.40393e+02,1.56818e-01
9.20000e+03,2.64879e-02,1.10953e-02,2.57797e+02,1.74634e-01
9.30000e+03,4.90386e-02,1.25779e-02,2.17562e+02,2.06330e-01
9.40000e+03,1.91869e-02,7.60743e-03,2.27921e+02,1.61976e-01
9.50000e+03,2.31469e-02,9.64441e-03,2.22267e+02,2.51030e-01
9.60000e+03,1.24870e-02,3.77600e-03,2.09917e+02,3.24691e-02
