iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,9.13880e-01,4.42848e-01,1.75445e+02,1.11765e+01
2.00000e+02,8.41621e-01,2.75280e-01,2.14741e+02,1.21707e+01
3.00000e+02,5.74291e-01,2.60526e-01,3.51320e+02,5.39033e+00
4.00000e+02,3.24914e-01,1.57404e-01,8.68270e+01,3.45865e+00
5.00000e+02,6.98306e-01,1.91509e-01,2.30229e+02,5.26425e+00
6.00000e+02,7.62821e-01,2.47179e-01,2.98727e+02,4.52385e+00
7.00000e+02,5.42497e-01,1.69397e-01,2.20124e+02,3.76078e+00
8.00000e+02,3.22087e-01,1.40103e-01,-1.62467e+01,3.64121e+00
9.00000e+02,2.57559e-01,1.52751e-01,1.58325e+01,2.21425e+00
1.00000e+03,2.51910e-01,8.47647e-02,1.69992e+01,1.23137e+00
1.10000e+03,4.11930e-01,1.05916e-01,-3.83893e+01,1.75358e+00
1.20000e+03,2.13510e-01,1.11641e-01,-7.51133e+01,1.20490e+00
1.30000e+03,1.32514e-01,6.44952e-02,-5.97870e+01,7.89720e-01
1.40000e+03,1.21786e-01,4.50830e-02,-1.40835e+01,3.90924e-01
1.50000e+03,1.10313e-01,3.78243e-02,-4.24673e+00,4.66011e-01
1.60000e+03,5.12815e-02,3.20815e-02,3.59910e+01,4.40160e-01
1.70000e+03,6.66366e-02,2.05981e-02,1.07574e+01,4.17196e-01
1.80000e+03,2.78885e-02,1.16144e-02,3.46366e+01,1.57780e-01
1.90000e+03,3.51988e-02,2.17009e-02,3.80156e+01,1.53158e-01
2.00000e+03,5.75346e-02,2.17813e-02,5.63929e+01,3.07548e-01
2.10000e+03,2.65825e-02,1.21515e-02,2.99945e+01,9.59691e-02
2.20000e+03,3.02852e-02,1.68827e-02,4.42916e+01,1.98123e-01
2.30000e+03,4.17326e-02,1.74753e-02,3.03853e+01,2.30237e-01
2.40000e+03,3.69640e-02,1.43147e-02,5.14228e+01,2.75287e-01
2.50000e+03,4.63980e-02,2.16882e-02,5.75155e+01,1.25278e-01
2.60000e+03,6.21650e-02,2.55578e-02,8.03050e+01,2.40374e-01
2.70000e+03,4.72924e-02,2.01010e-02,4.54926e+01,2.97987e-01
2.80000e+03,3.41367e-02,1.67555e-02,6.79017e+01,2.08977e-01
2.90000e+03,4.61417e-02,1.91731e-02,8.84983e+01,3.43858e-01
3.00000e+03,3.32418e-02,1.33133e-02,1.09925e+02,3.43774e-01
