iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,7.54263e-01,4.25398e-01,5.40161e+01,6.89305e+00
2.00000e+02,5.69914e-01,2.67850e-01,2.46566e+02,1.06438e+01
3.00000e+02,4.65138e-01,1.62079e-01,-4.36329e+01,3.70326e+00
4.00000e+02,3.11140e-01,1.29751e-01,-5.04731e+01,2.68296e+00
5.00000e+02,3.58808e-01,1.72150e-01,4.45230e+01,2.19348e+00
6.00000e+02,8.84272e-01,3.35548e-01,2.71423e+02,8.07201e+00
7.00000e+02,8.15226e-01,2.16777e-01,-3.81930e+02,6.02491e+00
8.00000e+02,4.78945e-01,1.59263e-01,-3.18966e+02,2.94985e+00
9.00000e+02,3.55967e-01,1.66503e-01,2.66199e+02,2.86639e+00
1.00000e+03,2.32389e-01,9.21755e-02,5.12827e+01,1.86687e+00
1.10000e+03,2.54299e-01,9.12290e-02,-1.12534e+00,1.19791e+00
1.20000e+03,1.86121e-01,5.00865e-02,4.86940e+00,5.20290e-01
1.30000e+03,2.16090e-01,5.83298e-02,-3.39646e+01,7.30299e-01
1.40000e+03,1.54726e-01,5.10161e-02,-2.67386e+01,4.94260e-01
1.50000e+03,8.92200e-02,2.48114e-02,7.47734e-01,2.24434e-01
1.60000e+03,4.42748e-02,1.81515e-02,1.26773e+01,2.07111e-01
1.70000e+03,5.74336e-02,2.22839e-02,-1.21789e+01,3.15538e-01
1.80000e+03,5.03185e-02,2.05904e-02,-6.06979e+00,1.28973e-01
1.90000e+03,4.37367e-02,1.77735e-02,1.94550e+01,2.53847e-01
2.00000e+03,3.07040e-02,1.16381e-02,8.89586e+00,8.90316e-02
2.10000e+03,3.02277e-02,1.15597e-02,3.41971e+01,1.33522e-01
2.20000e+03,2.02125e-02,1.08049e-02,-1.48153e+01,3.15064e-01
2.30000e+03,3.59206e-02,1.65525e-02,1.05333e+01,2.63495e-01
2.40000e+03,3.56696e-02,1.06272e-02,2.83540e+00,2.43155e-01
2.50000e+03,3.80984e-02,1.85986e-02,3.00068e+01,1.24743e-01
2.60000e+03,2.60821e-02,1.22524e-02,3.76434e+01,1.49494e-01
2.70000e+03,2.06078e-02,8.62345e-03,2.37194e+01,1.41624e-01
2.80000e+03,1.84238e-02,7.93699e-03,3.59895e+01,8.76359e-02
