iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,9.04273e-01,4.40122e-01,1.49349e+02,1.04852e+01
2.00000e+02,1.06563e+00,5.48124e-01,1.69803e+02,1.24197e+01
3.00000e+02,6.27304e-01,2.43835e-01,1.77944e+02,5.78349e+00
4.00000e+02,8.23346e-01,2.05233e-01,3.99680e+02,7.23009e+00
5.00000e+02,8.48710e-01,3.65087e-01,-3.71471e+02,1.04446e+01
6.00000e+02,6.50143e-01,3.08079e-01,1.45899e+02,6.06065e+00
7.00000e+02,6.92985e-01,2.87735e-01,-5.58881e+00,2.98960e+00
8.00000e+02,4.79409e-01,2.55780e-01,2.53498e+02,4.90886e+00
9.00000e+02,7.07112e-01,2.61487e-01,-2.06182e+02,6.85965e+00
1.00000e+03,4.28071e-01,1.99663e-01,1.43968e+02,2.28992e+00
1.10000e+03,4.43326e-01,1.99640e-01,2.33889e+01,3.41283e+00
1.20000e+03,4.23806e-01,1.89662e-01,-9.13058e+01,2.39298e+00
1.30000e+03,2.30937e-01,1.15712e-01,6.60162e+01,1.68507e+00
1.40000e+03,1.88680e-01,8.47198e-02,1.41130e+02,1.40817e+00
1.50000e+03,1.53335e-01,5.20758e-02,-1.07304e+01,6.05548e-01
1.60000e+03,7.31869e-02,3.01480e-02,5.10983e-01,4.84528e-01
1.70000e+03,6.34073e-02,2.44781e-02,-2.51248e+01,3.15123e-01
1.80000e+03,1.13814e-01,3.01287e-02,1.63224e+01,4.82579e-01
1.90000e+03,1.15939e-01,3.11493e-02,4.11488e+00,4.02405e-01
2.00000e+03,7.55457e-02,3.20772e-02,2.51643e+01,9.87601e-02
2.10000e+03,7.12439e-02,3.03592e-02,3.25843e+01,3.92299e-01
2.20000e+03,8.27235e-02,2.79215e-02,3.20289e+01,2.39445e-01
2.30000e+03,8.14428e-02,4.66137e-02,2.50389e+01,2.21107e-01
2.40000e+03,9.30569e-02,4.26134e-02,4.41852e+01,2.85239e-01
2.50000e+03,7.14843e-02,4.02273e-02,4.67526e+01,5.46185e-01
2.60000e+03,6.76400e-02,3.36642e-02,3.41712e+01,1.85717e-01
2.70000e+03,9.59725e-02,2.64719e-02,5.56928e+01,5.10722e-01
2.80000e+03,5.51125e-02,2.78779e-02,4.26232e+01,3.92965e-01
2.90000e+03,4.43179e-02,2.30003e-02,6.11778e+01,2.78880e-01
3.00000e+03,3.26957e-02,1.41394e-02,6.89884e+01,3.61225e-01
3.10000e+03,5.15430e-02,2.01879e-02,9.39180e+01,1.20401e-01
3.20000e+03,4.69433e-02,1.37864e-02,1.12575e+02,2.01654e-01
3.30000e+03,6.20669e-02,2.60777e-02,2.31719e+02,3.71704e-01
3.40000e+03,2.35392e-02,1.05163e-02,2.10155e+02,1.54750e-01
3.50000e+03,2.64078e-02,1.02277e-02,2.03389e+02,1.66822e-01
3.60000e+03,2.74266e-02,9.54068e-03,1.99203e+02,4.46969e-02
3.70000e+03,4.00440e-02,1.51420e-02,1.94934e+02,1.44631e-01
3.80000e+03,3.74986e-02,1.40307e-02,2.01346e+02,1.77756e-01
3.90000e+03,4.64552e-02,2.19191e-02,1.59076e+02,2.86848e-01
4.00000e+03,4.52177e-02,1.84272e-02,1.40220e+02,1.53575e-01
4.10000e+03,4.93850e-02,1.98504e-02,1.56859e+02,1.72562e-01
4.20000e+03,2.58497e-02,7.76459e-03,5.40741e+01,1.41920e-01
4.30000e+03,2.24005e-02,7.61489e-03,6.13325e+01,7.46777e-02
4.40000e+03,3.27200e-02,1.40599e-02,-6.92583e+00,2.60011e-01
4.50000e+03,4.18402e-02,1.26021e-02,-1.49148e+01,2.14190e-01
4.60000e+03,6.68509e-02,2.82558e-02,-3.41564e+01,1.84356e-01
4.70000e+03,6.88248e-02,3.37468e-02,-7.89664e+01,2.05773e-01
4.80000e+03,9.98988e-02,4.04715e-02,-1.72221e+02,3.17481e-01
4.90000e+03,9.72763e-02,3.47331e-02,-1.29727e+02,3.00396e-01
5.00000e+03,9.77534e-02,3.25567e-02,-6.89196e+01,2.40384e-01
5.10000e+03,1.12444e-01,5.44837e-02,-1.18987e+02,3.99007e-01
5.20000e+03,1.17600e-01,4.23569e-02,-2.41597e+02,2.07676e-01
5.30000e+03,9.57731e-02,3.63004e-02,-2.69741e+02,2.70701e-01
5.40000e+03,5.93130e-02,2.08724e-02,-2.28205e+02,1.59408e-01
5.50000e+03,5.31236e-02,2.22880e-02,-1.49394e+02,1.85567e-01
5.60000e+03,3.31438e-02,1.23141e-02,-1.62629e+02,5.99347e-01
5.70000e+03,8.90074e-02,3.53950e-02,-2.44196e+02,2.53464e-01
5.80000e+03,8.14571e-02,3.29679e-02,-1.44136e+02,5.30625e-01
5.90000e+03,6.46241e-02,2.30535e-02,-1.49928e+02,1.52759e-01
6.00000e+03,4.78948e-02,1.79534e-02,-1.44753e+02,1.97811e-01
6.10000e+03,5.07731e-02,1.54444e-02,-8.87743e+01,2.49734e-01
6.20000e+03,4.05331e-02,1.50898e-02,-7.68226e+01,1.64470e-01
6.30000e+03,4.43353e-02,1.14427e-02,-4.82131e+01,6.64711e-02
6.40000e+03,1.86807e-02,7.74808e-03,-5.29603e+01,9.74921e-02
6.50000e+03,1.86831e-02,8.67532e-03,-2.25317e+01,1.35031e-01
6.60000e+03,1.72061e-02,8.09718e-03,-1.57911e+01,1.42084e-01
6.70000e+03,2.57046e-02,9.53677e-03,4.30784e+01,1.33106e-01
6.80000e+03,1.91876e-02,7.48198e-03,7.88908e+01,7.02774e-02
6.90000e+03,1.89939e-02,8.13492e-03,1.06263e+02,1.81683e-01
7.00000e+03,1.93122e-02,6.75517e-03,1.06025e+02,4.25625e-02
7.10000e+03,2.25009e-02,1.27743e-02,1.45258e+02,1.52237e-01
7.20000e+03,2.41174e-02,1.61755e-02,1.80859e+02,9.82201e-02
7.30000e+03,2.34808e-02,1.27617e-02,2.01926e+02,1.13583e-01
7.40000e+03,3.15152e-02,1.52448e-02,2.04475e+02,6.06624e-02
7.50000e+03,3.26319e-02,1.84375e-02,2.34906e+02,9.59897e-02
7.60000e+03,4.02587e-02,2.20072e-02,2.58917e+02,1.25826e-01
7.70000e+03,2.76455e-02,1.74612e-02,2.60519e+02,1.55388e-01
7.80000e+03,2.59349e-02,1.00517e-02,2.67896e+02,6.12035e-02
7.90000e+03,1.69606e-02,5.85354e-03,2.55084e+02,9.87395e-02
8.00000e+03,1.68073e-02,9.00555e-03,2.67155e+02,6.13248e-02
