iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,2.90596e+00,1.39174e+00,2.68482e+02,2.96679e+00
2.00000e+02,3.52256e+00,1.20298e+00,2.23868e+02,5.17177e+00
3.00000e+02,1.74668e+00,6.25968e-01,1.73707e+02,1.41994e+00
4.00000e+02,3.20565e+00,1.10804e+00,1.64006e+02,2.81801e+00
5.00000e+02,2.26621e+00,8.06580e-01,1.05377e+02,2.07653e+00
6.00000e+02,8.15653e-01,3.09188e-01,1.62020e+02,9.65328e-01
7.00000e+02,9.64657e-01,3.72554e-01,1.61036e+02,6.89131e-01
8.00000e+02,5.10739e-01,1.67901e-01,1.50601e+02,3.24398e-01
9.00000e+02,3.88675e-01,1.13770e-01,1.63336e+02,2.73801e-01
1.00000e+03,1.87206e-01,6.43370e-02,1.90672e+02,1.57032e-01
1.10000e+03,1.28887e-01,7.59952e-02,1.77730e+02,1.91966e-01
1.20000e+03,1.82978e-01,6.93346e-02,1.99423e+02,2.69758e-01
1.30000e+03,1.19411e-01,4.36646e-02,1.97542e+02,1.58663e-01
1.40000e+03,1.78415e-01,6.06085e-02,2.17170e+02,1.27045e-01
1.50000e+03,1.94584e-01,9.55199e-02,2.52008e+02,1.30149e-01
1.60000e+03,2.71799e-01,8.86095e-02,3.00183e+02,2.40106e-01
1.70000e+03,2.55739e-01,1.05284e-01,3.04988e+02,2.11263e-01
1.80000e+03,2.80437e-01,1.00085e-01,3.10617e+02,2.85975e-01
1.90000e+03,2.04363e-01,7.66554e-02,2.92828e+02,2.47689e-01
2.00000e+03,2.58215e-01,1.01611e-01,2.40913e+02,3.16537e-01
2.10000e+03,2.83451e-01,9.89963e-02,2.11184e+02,2.61900e-01
2.20000e+03,3.12149e-01,1.26484e-01,1.49213e+02,2.18463e-01
2.30000e+03,2.11788e-01,8.46300e-02,1.13742e+02,2.52947e-01
2.40000e+03,3.01217e-01,1.31156e-01,6.20812e+01,3.68250e-01
2.50000e+03,2.40029e-01,9.90314e-02,4.87639e+01,1.16136e-01
2.60000e+03,2.57477e-01,1.16262e-01,1.93051e+01,2.27914e-01
2.70000e+03,2.25528e-01,9.39693e-02,-1.18301e+00,2.36449e-01
2.80000e+03,2.42166e-01,8.96036e-02,1.16349e+01,2.40282e-01
2.90000e+03,1.74890e-01,6.41118e-02,-6.31757e+00,3.01001e-01
3.00000e+03,1.69930e-01,7.08465e-02,5.45607e+01,2.50638e-01
3.10000e+03,1.02605e-01,4.12842e-02,3.66088e+01,1.11038e-01
3.20000e+03,2.05199e-01,9.20591e-02,1.00312e+02,1.00585e-01
3.30000e+03,1.71328e-01,4.27308e-02,1.08556e+02,8.55629e-02
3.40000e+03,1.45622e-01,4.56622e-02,2.04310e+02,1.14383e-01
3.50000e+03,1.30470e-01,3.58203e-02,2.71510e+02,1.09466e-01
3.60000e+03,1.93320e-01,8.49365e-02,2.93613e+02,1.13997e-01
3.70000e+03,9.35283e-02,4.41139e-02,3.46317e+02,1.59419e-01
3.80000e+03,1.12088e-01,5.27695e-02,3.74888e+02,1.88005e-01
