iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,2.90631e+00,1.40314e+00,2.68315e+02,2.79366e+00
2.00000e+02,3.12083e+00,8.51593e-01,2.21330e+02,6.68360e+00
3.00000e+02,2.14184e+00,7.66949e-01,1.73875e+02,2.26090e+00
4.00000e+02,1.19174e+00,3.78204e-01,1.64616e+02,1.07255e+00
5.00000e+02,2.47235e+00,7.39939e-01,1.03074e+02,2.33667e+00
6.00000e+02,3.45270e+00,1.28381e+00,1.58165e+02,3.98859e+00
7.00000e+02,1.17961e+00,4.50376e-01,1.59782e+02,9.74173e-01
8.00000e+02,3.19402e-01,1.08465e-01,1.51597e+02,4.34569e-01
9.00000e+02,2.48935e-01,1.55774e-01,1.63856e+02,2.13733e-01
1.00000e+03,1.89750e-01,9.80056e-02,1.90555e+02,2.06544e-01
1.10000e+03,1.66215e-01,8.04946e-02,1.77801e+02,1.01762e-01
1.20000e+03,2.93702e-01,8.98146e-02,1.99552e+02,2.53456e-01
1.30000e+03,2.89485e-01,1.09665e-01,1.97498e+02,1.34015e-01
1.40000e+03,3.93804e-01,1.13536e-01,2.16804e+02,3.67311e-01
1.50000e+03,2.60136e-01,8.26448e-02,2.51929e+02,2.86335e-01
1.60000e+03,2.00659e-01,7.34298e-02,2.99996e+02,9.85595e-02
1.70000e+03,2.05345e-01,1.05075e-01,3.04818e+02,2.42463e-01
1.80000e+03,2.35345e-01,8.33591e-02,3.10306e+02,1.92453e-01
1.90000e+03,1.82152e-01,7.62736e-02,2.92834e+02,6.71902e-02
2.00000e+03,1.88653e-01,6.76526e-02,2.40955e+02,9.58976e-02
2.10000e+03,2.27779e-01,8.63598e-02,2.11039e+02,1.73864e-01
2.20000e+03,2.16341e-01,6.56874e-02,1.49371e+02,1.45512e-01
2.30000e+03,1.88710e-01,7.77435e-02,1.13990e+02,1.36482e-01
2.40000e+03,2.82099e-01,7.31977e-02,6.22763e+01,2.48589e-01
2.50000e+03,1.23002e-01,4.28964e-02,4.88485e+01,1.53573e-01
2.60000e+03,2.07216e-01,4.05245e-02,1.92944e+01,1.82847e-01
2.70000e+03,1.49924e-01,5.11498e-02,-1.23489e+00,1.46060e-01
2.80000e+03,2.62366e-01,9.74262e-02,1.15310e+01,1.75828e-01
2.90000e+03,1.93819e-01,7.82743e-02,-6.36364e+00,9.70549e-02
3.00000e+03,1.57770e-01,6.38821e-02,5.43136e+01,1.19551e-01
3.10000e+03,1.38711e-01,5.30366e-02,3.64584e+01,1.35978e-01
3.20000e+03,1.31979e-01,4.02513e-02,1.00264e+02,8.58377e-02
3.30000e+03,1.24332e-01,4.39130e-02,1.08245e+02,1.04827e-01
3.40000e+03,1.90561e-01,6.01592e-02,2.04112e+02,1.40263e-01
3.50000e+03,1.77057e-01,6.65947e-02,2.71341e+02,1.70084e-01
3.60000e+03,2.13780e-01,8.04469e-02,2.93489e+02,2.43026e-01
