iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,9.07625e-01,4.40816e-01,5.64709e+01,1.03983e+01
2.00000e+02,1.07252e+00,5.52756e-01,2.47789e+02,1.43641e+01
3.00000e+02,6.25472e-01,2.80844e-01,-4.31184e+01,5.87291e+00
4.00000e+02,9.67671e-01,3.31851e-01,-5.12581e+01,7.80181e+00
5.00000e+02,9.45883e-01,3.65458e-01,4.43094e+01,8.30567e+00
6.00000e+02,6.15363e-01,2.43378e-01,2.75120e+02,5.39950e+00
7.00000e+02,5.13087e-01,2.53247e-01,-3.76180e+02,4.19154e+00
8.00000e+02,4.35077e-01,1.38616e-01,-3.19202e+02,2.76259e+00
9.00000e+02,2.87753e-01,1.16966e-01,2.69385e+02,2.27508e+00
1.00000e+03,3.02439e-01,1.40072e-01,4.84576e+01,1.95295e+00
1.10000e+03,5.05119e-01,1.95726e-01,-2.22874e+00,3.42925e+00
1.20000e+03,7.24802e-01,2.23747e-01,1.38133e-01,7.18003e+00
1.30000e+03,3.15500e-01,1.30389e-01,-3.56376e+01,1.38854e+00
1.40000e+03,1.65901e-01,8.07436e-02,-2.57363e+01,3.39972e-01
1.50000e+03,1.62891e-01,6.18512e-02,6.56167e-02,4.23801e-01
1.60000e+03,1.32000e-01,4.39615e-02,1.19677e+01,2.53028e-01
1.70000e+03,1.48183e-01,5.61428e-02,-1.19576e+01,4.44113e-01
1.80000e+03,1.06012e-01,2.92019e-02,-5.87041e+00,1.55041e-01
1.90000e+03,8.75758e-02,2.74707e-02,1.92880e+01,2.72077e-01
2.00000e+03,1.03786e-01,3.08054e-02,9.55416e+00,2.17081e-01
2.10000e+03,6.35713e-02,1.90709e-02,3.41065e+01,9.83121e-02
2.20000e+03,3.26699e-02,1.08389e-02,-1.42200e+01,2.09419e-01
2.30000e+03,7.16356e-02,3.39463e-02,1.05391e+01,4.03483e-01
2.40000e+03,6.57715e-02,2.94339e-02,3.40382e+00,2.18673e-01
2.50000e+03,4.47046e-02,2.33554e-02,2.99979e+01,3.07246e-01
2.60000e+03,3.56398e-02,1.60491e-02,3.75154e+01,1.07220e-01
2.70000e+03,2.45710e-02,7.95311e-03,2.40253e+01,2.73495e-01
2.80000e+03,2.98734e-02,1.52150e-02,3.62061e+01,1.44564e-01
2.90000e+03,3.49735e-02,1.32896e-02,3.31045e+01,1.91462e-01
3.00000e+03,2.74589e-02,1.39735e-02,3.92820e+01,1.17287e-01
3.10000e+03,1.94958e-02,6.41396e-03,5.70329e+01,1.18941e-01
3.20000e+03,2.35092e-02,1.10341e-02,6.22824e+01,4.36144e-02
3.30000e+03,2.12989e-02,6.94283e-03,8.59786e+01,1.12294e-01
3.40000e+03,4.33413e-02,1.82527e-02,9.80114e+01,8.57768e-02
3.50000e+03,2.21138e-02,8.80774e-03,7.47670e+01,1.02000e-01
3.60000e+03,2.47874e-02,9.22043e-03,1.20290e+02,1.70710e-01
3.70000e+03,2.39676e-02,9.48452e-03,1.26917e+02,6.57986e-02
3.80000e+03,4.56298e-02,2.53727e-02,9.07676e+01,1.35067e-01
3.90000e+03,2.35539e-02,7.60287e-03,5.28918e+01,2.01966e-01
4.00000e+03,1.77930e-02,6.04424e-03,-1.10784e+02,2.62509e-01
4.10000e+03,2.05155e-02,7.80692e-03,-1.07674e+02,1.88973e-01
4.20000e+03,1.72530e-02,6.56030e-03,-9.10873e+01,8.43662e-02
4.30000e+03,2.22606e-02,7.57609e-03,-6.29388e+01,1.47572e-01
