iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,9.16204e-01,4.43793e-01,1.50323e+02,1.09633e+01
2.00000e+02,9.37928e-01,2.29461e-01,1.58691e+02,7.60449e+00
3.00000e+02,5.93792e-01,2.28042e-01,1.75416e+02,5.35255e+00
4.00000e+02,5.56986e-01,2.38391e-01,4.03919e+02,3.93321e+00
5.00000e+02,8.54009e-01,2.23080e-01,-3.72549e+02,1.32872e+01
6.00000e+02,6.38056e-01,2.47463e-01,1.48368e+02,7.14550e+00
7.00000e+02,5.72599e-01,2.32310e-01,-1.50285e+01,5.16855e+00
8.00000e+02,3.27283e-01,1.71660e-01,2.54523e+02,3.31755e+00
9.00000e+02,4.07670e-01,1.49576e-01,-2.09881e+02,3.70186e+00
1.00000e+03,5.28372e-01,2.58787e-01,1.33564e+02,5.10535e+00
1.10000e+03,4.65243e-01,1.86840e-01,2.11422e+01,2.00555e+00
1.20000e+03,3.07205e-01,1.25019e-01,-9.12091e+01,2.15884e+00
1.30000e+03,1.64948e-01,7.07591e-02,6.32253e+01,8.16836e-01
1.40000e+03,1.50090e-01,6.26480e-02,1.39873e+02,6.96830e-01
1.50000e+03,1.57564e-01,5.26418e-02,-1.06272e+01,7.13780e-01
1.60000e+03,2.13917e-01,6.98666e-02,3.41275e-01,7.65027e-01
1.70000e+03,1.87765e-01,6.17331e-02,-2.50310e+01,6.23876e-01
1.80000e+03,1.18862e-01,5.86033e-02,1.66522e+01,4.10495e-01
1.90000e+03,1.46738e-01,5.92255e-02,3.85649e+00,2.72637e-01
2.00000e+03,1.11587e-01,5.20257e-02,2.50874e+01,3.80295e-01
2.10000e+03,1.04012e-01,4.94513e-02,3.23558e+01,3.07359e-01
2.20000e+03,5.59686e-02,3.70675e-02,3.19318e+01,1.83393e-01
2.30000e+03,4.45673e-02,3.35587e-02,2.49443e+01,1.41141e-01
2.40000e+03,2.26136e-02,1.66148e-02,4.44819e+01,1.82239e-01
2.50000e+03,2.88950e-02,1.05068e-02,4.66900e+01,3.94764e-02
2.60000e+03,2.19679e-02,6.66153e-03,3.44672e+01,2.14879e-01
2.70000e+03,2.62116e-02,8.70223e-03,5.57610e+01,3.98561e-02
2.80000e+03,4.70015e-02,1.36948e-02,4.25468e+01,1.28450e-01
