iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,3.88363e+00,1.80362e+00,1.51540e+02,5.51152e+00
2.00000e+02,2.20318e+00,5.79943e-01,9.11956e+01,2.22770e+00
3.00000e+02,2.05182e+00,5.79264e-01,8.37748e+01,2.11496e+00
4.00000e+02,2.63096e+00,7.79913e-01,5.14872e+01,2.94207e+00
5.00000e+02,3.53137e+00,1.17369e+00,7.36233e+01,3.66347e+00
6.00000e+02,1.00458e+00,3.69652e-01,1.19571e+02,8.71655e-01
7.00000e+02,1.23031e+00,4.57977e-01,5.51133e+01,1.18364e+00
8.00000e+02,7.17513e-01,2.19078e-01,5.71102e+01,6.79286e-01
9.00000e+02,3.56606e-01,1.23254e-01,5.28178e+01,3.80366e-01
1.00000e+03,3.63754e-01,1.67810e-01,6.81124e+01,1.92707e-01
1.10000e+03,1.79150e-01,8.42506e-02,1.02315e+02,1.16445e-01
1.20000e+03,4.96502e-01,1.82411e-01,9.05055e+01,4.26136e-01
1.30000e+03,2.67387e-01,8.84156e-02,9.77242e+01,2.85187e-01
1.40000e+03,1.08739e-01,6.61236e-02,1.13298e+02,1.10791e-01
1.50000e+03,1.87899e-01,5.45736e-02,1.36853e+02,1.23991e-01
1.60000e+03,1.61901e-01,5.97123e-02,1.74490e+02,1.01499e-01
1.70000e+03,2.08073e-01,6.84968e-02,1.67834e+02,1.66614e-01
1.80000e+03,2.27887e-01,6.34811e-02,1.62802e+02,2.08575e-01
1.90000e+03,2.24525e-01,9.62491e-02,1.58239e+02,2.41437e-01
2.00000e+03,2.10706e-01,8.00301e-02,1.04912e+02,1.30334e-01
2.10000e+03,1.77287e-01,4.07046e-02,9.04181e+01,2.40134e-01
2.20000e+03,1.46232e-01,5.00829e-02,8.12536e+01,9.80041e-02
2.30000e+03,1.93516e-01,6.55690e-02,4.89659e+01,1.38638e-01
2.40000e+03,2.28743e-01,6.18050e-02,9.34327e+00,2.12015e-01
2.50000e+03,1.43374e-01,5.53574e-02,1.11662e+01,1.08381e-01
2.60000e+03,1.76660e-01,4.96374e-02,-1.20015e+01,1.10514e-01
2.70000e+03,1.60796e-01,5.35525e-02,-1.47343e+00,1.50367e-01
2.80000e+03,1.96188e-01,5.94255e-02,-3.03093e+01,2.40365e-01
2.90000e+03,1.68600e-01,6.56114e-02,-5.64327e+01,1.22259e-01
3.00000e+03,1.28572e-01,4.95165e-02,9.54416e+00,1.09698e-01
3.10000e+03,1.45311e-01,3.41018e-02,4.38171e-01,1.99884e-01
3.20000e+03,1.65535e-01,6.72272e-02,2.21926e+01,3.14235e-01
3.30000e+03,1.75534e-01,7.11942e-02,6.75497e+01,1.02067e-01
3.40000e+03,2.27679e-01,1.01251e-01,9.59476e+01,1.22030e-01
3.50000e+03,2.54547e-01,8.27970e-02,1.31699e+02,1.89968e-01
3.60000e+03,2.28484e-01,8.70582e-02,1.39668e+02,1.16333e-01
3.70000e+03,1.75414e-01,5.95732e-02,1.73730e+02,1.23880e-01
3.80000e+03,1.35920e-01,4.75262e-02,1.76678e+02,2.01803e-01
3.90000e+03,4.96797e-02,2.35407e-02,1.98079e+02,3.94578e-01
4.00000e+03,3.06688e-02,8.98492e-03,1.85804e+02,7.57201e-02
4.10000e+03,3.04431e-02,1.23965e-02,2.09190e+02,2.55087e-01
4.20000e+03,2.93376e-02,9.93866e-03,2.13185e+02,7.09156e-02
4.30000e+03,2.65537e-02,8.23647e-03,1.94652e+02,1.44456e-01
4.40000e+03,1.32015e-02,5.17908e-03,2.00756e+02,4.25313e-02
4.50000e+03,2.83625e-02,1.19784e-02,2.01783e+02,3.15868e-02
4.60000e+03,2.94339e-02,1.18898e-02,1.73823e+02,1.15572e-01
