iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,9.19314e-01,4.44486e-01,5.75709e+01,1.13789e+01
2.00000e+02,9.63649e-01,2.28422e-01,2.37341e+02,8.45975e+00
3.00000e+02,5.31179e-01,2.24062e-01,-4.68546e+01,4.06838e+00
4.00000e+02,5.80576e-01,3.04192e-01,-5.19191e+01,4.64684e+00
5.00000e+02,9.09852e-01,3.46901e-01,4.04358e+01,8.02024e+00
6.00000e+02,8.93693e-01,4.05029e-01,2.68700e+02,8.37126e+00
7.00000e+02,6.85150e-01,2.65889e-01,-3.84241e+02,5.37435e+00
8.00000e+02,4.27523e-01,1.89510e-01,-3.22754e+02,3.05814e+00
9.00000e+02,3.42023e-01,1.33563e-01,2.70061e+02,3.74737e+00
1.00000e+03,1.92098e-01,9.52864e-02,4.89963e+01,1.08898e+00
1.10000e+03,1.88114e-01,8.00057e-02,-1.48890e+00,1.21886e+00
1.20000e+03,2.45396e-01,8.62274e-02,4.37109e+00,6.00344e-01
1.30000e+03,1.41083e-01,6.27947e-02,-3.44106e+01,8.19348e-01
1.40000e+03,9.82242e-02,3.89503e-02,-2.68615e+01,1.90937e-01
1.50000e+03,8.43076e-02,3.38037e-02,3.10029e-01,6.46710e-01
1.60000e+03,8.56792e-02,3.40056e-02,1.23850e+01,1.63073e-01
1.70000e+03,4.62073e-02,2.07148e-02,-1.25621e+01,3.24123e-01
1.80000e+03,5.39498e-02,2.37272e-02,-6.16817e+00,1.94673e-01
1.90000e+03,6.59276e-02,2.74378e-02,1.93073e+01,2.63566e-01
2.00000e+03,5.88618e-02,2.55228e-02,8.94987e+00,2.47960e-01
2.10000e+03,4.26649e-02,1.89252e-02,3.41608e+01,2.31849e-01
2.20000e+03,6.17490e-02,1.93741e-02,-1.49961e+01,4.66147e-01
2.30000e+03,3.65310e-02,1.58465e-02,1.02978e+01,2.51603e-01
2.40000e+03,3.41548e-02,1.61585e-02,3.10366e+00,2.29784e-01
2.50000e+03,4.64313e-02,1.80584e-02,2.99359e+01,1.54242e-01
2.60000e+03,4.48386e-02,1.96277e-02,3.75985e+01,2.76067e-01
2.70000e+03,4.42053e-02,1.52694e-02,2.38865e+01,1.71810e-01
2.80000e+03,3.77299e-02,1.16426e-02,3.60968e+01,1.35816e-01
2.90000e+03,3.33582e-02,1.22014e-02,3.31080e+01,1.28255e-01
3.00000e+03,3.03017e-02,1.09170e-02,3.89853e+01,1.57576e-01
3.10000e+03,3.56146e-02,1.09232e-02,5.65318e+01,2.71254e-01
3.20000e+03,4.65620e-02,1.90733e-02,6.13542e+01,3.22466e-01
3.30000e+03,6.76202e-02,2.27039e-02,8.49263e+01,2.24371e-01
3.40000e+03,4.83558e-02,1.20900e-02,9.81778e+01,1.98225e-01
3.50000e+03,4.95525e-02,1.64469e-02,7.48836e+01,2.02815e-01
3.60000e+03,5.63633e-02,1.86539e-02,1.19648e+02,3.25875e-01
3.70000e+03,2.53088e-02,9.45714e-03,1.26776e+02,2.11536e-01
3.80000e+03,4.12985e-02,1.40229e-02,9.07568e+01,1.34614e-01
3.90000e+03,4.36033e-02,2.18267e-02,5.37403e+01,2.22011e-01
4.00000e+03,4.01536e-02,1.30633e-02,-1.10753e+02,1.88218e-01
4.10000e+03,2.85856e-02,1.17965e-02,-1.08459e+02,2.02601e-01
4.20000e+03,3.31383e-02,1.66154e-02,-9.07986e+01,1.88506e-01
4.30000e+03,4.85066e-02,1.49904e-02,-6.29086e+01,1.96375e-01
4.40000e+03,4.39245e-02,1.30329e-02,-1.75276e+02,1.38586e-01
4.50000e+03,3.24347e-02,1.27283e-02,-2.04510e+02,1.37050e-01
4.60000e+03,2.23344e-02,9.91549e-03,-2.30224e+02,2.52717e-01
4.70000e+03,3.35032e-02,1.52365e-02,-3.19912e+02,3.11645e-01
4.80000e+03,4.66479e-02,1.51217e-02,-2.88079e+02,1.53330e-01
4.90000e+03,4.17609e-02,2.04682e-02,-3.84812e+02,2.95781e-01
5.00000e+03,6.57435e-02,2.86987e-02,-4.07271e+02,3.79472e-01
5.10000e+03,4.78220e-02,1.54642e-02,-4.33493e+02,2.60389e-01
5.20000e+03,2.97739e-02,9.03084e-03,-4.26667e+02,1.53322e-01
5.30000e+03,3.89545e-02,1.29195e-02,-4.29057e+02,2.81194e-01
5.40000e+03,5.06792e-02,1.84091e-02,-5.34944e+02,1.38488e-01
5.50000e+03,3.54036e-02,1.33699e-02,-4.66565e+02,5.54995e-01
5.60000e+03,3.19397e-02,1.54802e-02,-4.91434e+02,3.70683e-01
5.70000e+03,2.95932e-02,9.11733e-03,-4.52046e+02,1.08189e-01
5.80000e+03,2.11279e-02,7.09788e-03,-4.76271e+02,1.61562e-01
5.90000e+03,2.52450e-02,9.96811e-03,-5.01569e+02,1.97150e-01
6.00000e+03,2.88368e-02,8.25557e-03,-3.94390e+02,5.34430e-02
6.10000e+03,4.09474e-02,1.16488e-02,-4.19380e+02,1.83962e-01
6.20000e+03,5.17965e-02,1.67829e-02,-4.04521e+02,2.61779e-01
6.30000e+03,6.53111e-02,1.84920e-02,-2.97085e+02,4.90386e-01
6.40000e+03,5.23156e-02,1.43011e-02,-3.12390e+02,2.01904e-01
6.50000e+03,1.84639e-02,6.67049e-03,-2.36066e+02,3.15397e-01
6.60000e+03,9.20435e-03,3.34584e-03,-2.55626e+02,8.04099e-02
6.70000e+03,2.18068e-02,1.06523e-02,-1.99616e+02,1.00647e-01
6.80000e+03,4.62920e-02,2.06854e-02,-1.36337e+02,2.57670e-01
6.90000e+03,2.13449e-02,7.23368e-03,-2.05850e+01,1.46621e-01
7.00000e+03,3.14274e-02,1.28340e-02,4.58047e+01,2.10350e-01
7.10000e+03,2.66598e-02,7.71343e-03,3.68511e+01,1.34230e-01
7.20000e+03,2.68459e-02,9.66168e-03,1.11230e+02,8.52045e-02
7.30000e+03,3.65856e-02,1.55004e-02,1.40266e+02,7.80684e-02
7.40000e+03,4.52682e-02,1.65407e-02,1.57765e+02,1.56176e-01
7.50000e+03,5.06002e-02,2.45203e-02,1.30332e+02,3.31772e-01
7.60000e+03,1.91251e-02,1.15450e-02,2.64762e+02,1.33304e-01
7.70000e+03,2.73930e-02,7.00483e-03,2.26854e+02,1.28083e-01
7.80000e+03,2.16943e-02,1.05397e-02,2.35492e+02,7.40570e-02
7.90000e+03,2.49244e-02,7.70162e-03,3.15989e+02,1.18130e-01
8.00000e+03,1.37661e-02,6.42324e-03,2.73636e+02,1.47111e-01
8.10000e+03,1.49001e-02,5.19700e-03,2.77432e+02,1.34298e-01
8.20000e+03,2.78052e-02,8.44728e-03,3.02683e+02,5.52106e-02
8.30000e+03,1.44570e-02,5.66975e-03,3.16276e+02,1.22228e-01
8.40000e+03,2.00409e-02,1.01133e-02,3.37623e+02,1.02373e-01
8.50000e+03,2.49094e-02,1.46469e-02,2.72691e+02,5.79248e-02
8.60000e+03,2.31936e-02,1.10013e-02,2.56493e+02,9.24434e-02
