iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,7.54749e-01,4.25484e-01,1.71991e+02,6.84162e+00
2.00000e+02,6.77857e-01,4.09555e-01,2.16496e+02,1.56725e+01
3.00000e+02,3.96568e-01,1.58210e-01,3.50243e+02,4.03020e+00
4.00000e+02,5.27314e-01,2.02979e-01,8.63619e+01,3.46228e+00
5.00000e+02,3.21111e-01,8.35963e-02,2.32685e+02,1.75092e+00
6.00000e+02,5.45567e-01,1.47892e-01,2.99412e+02,2.91717e+00
7.00000e+02,9.34398e-01,3.23629e-01,2.11769e+02,9.80114e+00
8.00000e+02,8.05750e-01,2.10373e-01,-1.99899e+01,6.55523e+00
9.00000e+02,2.82021e-01,1.26605e-01,1.68635e+01,2.91327e+00
1.00000e+03,3.69825e-01,1.14129e-01,2.00506e+01,1.85977e+00
1.10000e+03,2.05425e-01,7.45027e-02,-3.66213e+01,8.87071e-01
1.20000e+03,1.92052e-01,8.68711e-02,-7.42382e+01,7.34800e-01
1.30000e+03,1.18428e-01,4.92316e-02,-5.97862e+01,6.61957e-01
1.40000e+03,8.62056e-02,3.74108e-02,-1.42894e+01,3.60538e-01
1.50000e+03,1.42499e-01,3.52540e-02,-4.89781e+00,3.37761e-01
1.60000e+03,8.64898e-02,3.23373e-02,3.59193e+01,5.24356e-01
1.70000e+03,9.56399e-02,2.67868e-02,1.05649e+01,2.41573e-01
1.80000e+03,9.05041e-02,4.30523e-02,3.46500e+01,2.33695e-01
1.90000e+03,7.86861e-02,3.36678e-02,3.80252e+01,3.20099e-01
2.00000e+03,6.45841e-02,1.94641e-02,5.63106e+01,1.90054e-01
2.10000e+03,5.36065e-02,1.81103e-02,3.01549e+01,5.25231e-02
2.20000e+03,4.44146e-02,2.42837e-02,4.42435e+01,1.94729e-01
2.30000e+03,4.16030e-02,1.24923e-02,3.02254e+01,2.54800e-01
2.40000e+03,2.80662e-02,1.34065e-02,5.13228e+01,1.19949e-01
2.50000e+03,5.90843e-02,2.04051e-02,5.72566e+01,2.52282e-01
2.60000e+03,3.22536e-02,1.10609e-02,8.01421e+01,1.14160e-01
2.70000e+03,2.12861e-02,8.71447e-03,4.57292e+01,1.65003e-01
2.80000e+03,4.78009e-02,2.12746e-02,6.80431e+01,1.33691e-01
2.90000e+03,3.62803e-02,1.41062e-02,8.80453e+01,1.80099e-01
3.00000e+03,3.78865e-02,1.30740e-02,1.09825e+02,2.81974e-01
3.10000e+03,2.95883e-02,1.27355e-02,1.23699e+02,1.23189e-01
3.20000e+03,2.06101e-02,6.74514e-03,1.24669e+02,7.46762e-02
3.30000e+03,3.35234e-02,1.34008e-02,2.14740e+02,1.26263e-01
3.40000e+03,4.14009e-02,1.58665e-02,1.96616e+02,9.56125e-02
3.50000e+03,4.24314e-02,1.52299e-02,1.86799e+02,6.95126e-02
3.60000e+03,5.84325e-02,2.75682e-02,2.16869e+02,2.33304e-01
3.70000e+03,4.59834e-02,1.71877e-02,2.64024e+02,4.28607e-01
3.80000e+03,2.73751e-02,1.17405e-02,2.06973e+02,1.00422e-01
3.90000e+03,2.36971e-02,9.45859e-03,1.13240e+02,1.24778e-01
4.00000e+03,2.87345e-02,1.21896e-02,7.30616e+01,1.30525e-01
4.10000e+03,3.51488e-02,1.50587e-02,3.90559e+01,1.93593e-01
4.20000e+03,4.60315e-02,1.40332e-02,-2.53237e+00,1.05110e-01
4.30000e+03,5.15142e-02,1.58747e-02,1.71968e-01,1.25028e-01
4.40000e+03,4.24554e-02,1.47491e-02,-1.29682e+01,2.06655e-01
4.50000e+03,2.71954e-02,1.16428e-02,-9.70284e+01,2.32589e-01
4.60000e+03,3.56377e-02,1.10415e-02,-1.47743e+02,1.17243e-01
