iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,7.54116e-01,4.24973e-01,1.46913e+02,6.79838e+00
2.00000e+02,5.80792e-01,2.66306e-01,1.67974e+02,8.45711e+00
3.00000e+02,4.89834e-01,1.70036e-01,1.78744e+02,3.95137e+00
4.00000e+02,5.65686e-01,2.65894e-01,4.00131e+02,2.89173e+00
5.00000e+02,6.15778e-01,1.94349e-01,-3.67660e+02,4.80230e+00
6.00000e+02,8.13867e-01,2.97259e-01,1.44861e+02,5.56662e+00
7.00000e+02,5.61301e-01,2.60032e-01,-6.09518e+00,9.65205e+00
8.00000e+02,5.49197e-01,1.82138e-01,2.53523e+02,3.76371e+00
9.00000e+02,3.29914e-01,1.23623e-01,-2.08478e+02,1.63683e+00
1.00000e+03,2.33360e-01,1.14011e-01,1.34368e+02,1.99404e+00
1.10000e+03,4.64918e-01,2.08159e-01,1.89379e+01,3.61999e+00
1.20000e+03,3.35908e-01,1.87458e-01,-9.10505e+01,1.85738e+00
1.30000e+03,2.44800e-01,9.36472e-02,6.40539e+01,9.87040e-01
1.40000e+03,2.01708e-01,6.59044e-02,1.39359e+02,6.93887e-01
1.50000e+03,2.38491e-01,9.93048e-02,-1.10204e+01,7.22767e-01
1.60000e+03,1.51816e-01,5.17393e-02,4.95633e-01,4.42378e-01
1.70000e+03,1.70356e-01,5.54969e-02,-2.50783e+01,4.61789e-01
1.80000e+03,1.33368e-01,5.36319e-02,1.65187e+01,3.92648e-01
1.90000e+03,1.14268e-01,5.84860e-02,3.98410e+00,1.83407e-01
2.00000e+03,1.16987e-01,7.24014e-02,2.52854e+01,3.46871e-01
2.10000e+03,1.25026e-01,8.92055e-02,3.24167e+01,3.40619e-01
2.20000e+03,8.47573e-02,5.91220e-02,3.17158e+01,2.23486e-01
2.30000e+03,5.28621e-02,3.23109e-02,2.49160e+01,1.19976e-01
2.40000e+03,2.49873e-02,1.81306e-02,4.44074e+01,7.45117e-02
2.50000e+03,2.76503e-02,1.07638e-02,4.66124e+01,3.25634e-02
2.60000e+03,2.11993e-02,7.56145e-03,3.43815e+01,9.43335e-02
2.70000e+03,2.66329e-02,9.40857e-03,5.58725e+01,1.10638e-01
2.80000e+03,3.99854e-02,1.28334e-02,4.24872e+01,1.16098e-01
2.90000e+03,2.85475e-02,1.11390e-02,6.09752e+01,2.20786e-01
3.00000e+03,2.58215e-02,8.17789e-03,6.86976e+01,9.38137e-02
3.10000e+03,3.04233e-02,1.30034e-02,9.36174e+01,9.50637e-02
3.20000e+03,4.70363e-02,1.44723e-02,1.12401e+02,1.83533e-01
3.30000e+03,5.86740e-02,2.22214e-02,2.31353e+02,1.68826e-01
3.40000e+03,3.36402e-02,9.40780e-03,2.10364e+02,2.76396e-01
3.50000e+03,2.53578e-02,1.17009e-02,2.03564e+02,8.93507e-02
3.60000e+03,4.56642e-02,2.32839e-02,1.99405e+02,9.19188e-02
3.70000e+03,2.35681e-02,9.36271e-03,1.94793e+02,1.68761e-01
3.80000e+03,2.68860e-02,1.13970e-02,2.01679e+02,1.86749e-01
3.90000e+03,2.60778e-02,9.05764e-03,1.58901e+02,1.11098e-01
4.00000e+03,2.55487e-02,1.32190e-02,1.40203e+02,1.69473e-01
4.10000e+03,2.85041e-02,1.48155e-02,1.56977e+02,9.78510e-02
4.20000e+03,1.90900e-02,6.54363e-03,5.41355e+01,9.92987e-02
4.30000e+03,3.22527e-02,1.34352e-02,6.12303e+01,7.69057e-02
4.40000e+03,3.23405e-02,1.21217e-02,-7.38651e+00,2.64223e-01
4.50000e+03,4.64609e-02,1.99718e-02,-1.49992e+01,1.51631e-01
4.60000e+03,2.99699e-02,8.31262e-03,-3.42213e+01,1.42546e-01
4.70000e+03,2.00826e-02,6.92919e-03,-7.86403e+01,2.57837e-01
4.80000e+03,2.47655e-02,7.76943e-03,-1.71302e+02,1.16254e-01
4.90000e+03,2.74479e-02,1.01805e-02,-1.29491e+02,8.13361e-02
5.00000e+03,3.22197e-02,1.29747e-02,-6.92105e+01,1.94588e-01
5.10000e+03,3.45941e-02,1.42776e-02,-1.19322e+02,1.79793e-01
5.20000e+03,5.98178e-02,2.96476e-02,-2.41403e+02,1.03598e-01
5.30000e+03,1.01726e-01,2.76638e-02,-2.69187e+02,2.46714e-01
5.40000e+03,3.62806e-02,1.26443e-02,-2.27185e+02,2.92832e-01
5.50000e+03,4.32167e-02,2.17608e-02,-1.50163e+02,1.69274e-01
5.60000e+03,5.03191e-02,1.22931e-02,-1.61739e+02,1.27549e-01
