t,x,y,z
0.00400,11.80000,6.30000,8.70000
0.00600,11.80000,6.30000,8.69960
0.00800,11.80000,6.30000,8.69910
0.01000,11.80000,6.30000,8.69840
0.01200,11.80000,6.30010,8.69740
0.01400,11.80000,6.30010,8.69630
0.01600,11.80000,6.30020,8.69490
0.01800,11.80000,6.30020,8.69330
0.02000,11.80000,6.30030,8.69150
0.02200,11.80000,6.30030,8.68960
0.02400,11.80000,6.30040,8.68740
0.02600,11.80000,6.30050,8.68500
0.02800,11.80000,6.30050,8.68240
0.03000,11.80100,6.30060,8.67970
0.03200,11.80100,6.30070,8.67670
0.03400,11.80100,6.30080,8.67360
0.03600,11.80100,6.30090,8.67040
0.03800,11.80100,6.30100,8.66690
0.04000,11.80100,6.30100,8.66320
0.04200,11.80100,6.30110,8.65940
0.04400,11.80100,6.30120,8.65540
0.04600,11.80100,6.30140,8.65120
0.04800,11.80100,6.30150,8.64680
0.05000,11.80100,6.30160,8.64230
0.05200,11.80200,6.30170,8.63760
0.05400,11.80200,6.30180,8.63270
0.05600,11.80200,6.30190,8.62770
0.05800,11.80200,6.30200,8.62250
0.06000,11.80200,6.30220,8.61710
0.06200,11.80200,6.30230,8.61160
0.06400,11.80200,6.30240,8.60590
0.06600,11.80200,6.30250,8.60000
0.06800,11.80200,6.30270,8.59400
0.07000,11.80300,6.30280,8.58780
0.07200,11.80300,6.30290,8.58150
0.07400,11.80300,6.30310,8.57500
0.07600,11.80300,6.30320,8.56830
0.07800,11.80300,6.30330,8.56150
0.08000,11.80300,6.30350,8.55450
0.08200,11.80300,6.30360,8.54740
0.08400,11.80400,6.30370,8.54010
0.08600,11.80400,6.30390,8.53270
0.08800,11.80400,6.30400,8.52510
0.09000,11.80400,6.30420,8.51730
0.09200,11.80400,6.30430,8.50940
0.09400,11.80400,6.30450,8.50140
0.09600,11.80400,6.30460,8.49320
0.09800,11.80400,6.30480,8.48490
0.10000,11.80500,6.30490,8.47640
0.10200,11.80500,6.30510,8.46780
0.10400,11.80500,6.30530,8.45910
0.10600,11.80500,6.30540,8.45020
0.10800,11.80500,6.30560,8.44120
0.11000,11.80500,6.30580,8.43210
0.11200,11.80600,6.30590,8.42280
0.11400,11.80600,6.30610,8.41340
0.11600,11.80600,6.30620,8.40390
0.11800,11.80600,6.30640,8.39430
0.12000,11.80600,6.30660,8.38450
0.12200,11.80600,6.30670,8.37460
0.12400,11.80700,6.30690,8.36470
0.12600,11.80700,6.30710,8.35450
0.12800,11.80700,6.30730,8.34430
0.13000,11.80700,6.30750,8.33390
0.13200,11.80700,6.30760,8.32340
0.13400,11.80700,6.30780,8.31280
0.13600,11.80800,6.30800,8.30200
0.13800,11.80800,6.30820,8.29120
0.14000,11.80800,6.30840,8.28030
0.14200,11.80800,6.30850,8.26920
0.14400,11.80800,6.30870,8.25810
0.14600,11.80800,6.30890,8.24680
0.14800,11.80900,6.30910,8.23550
0.15000,11.80900,6.30930,8.22400
0.15200,11.80900,6.30950,8.21240
0.15400,11.80900,6.30970,8.20080
0.15600,11.80900,6.30990,8.18910
0.15800,11.80900,6.31010,8.17720
0.16000,11.81000,6.31030,8.16530
0.16200,11.81000,6.31050,8.15320
0.16400,11.81000,6.31070,8.14120
0.16600,11.81000,6.31100,8.12890
0.16800,11.81000,6.31120,8.11670
0.17000,11.81100,6.31140,8.10430
0.17200,11.81100,6.31160,8.09190
0.17400,11.81100,6.31180,8.07940
0.17600,11.81100,6.31210,8.06680
0.17800,11.81200,6.31230,8.05420
0.18000,11.81200,6.31250,8.04150
0.18200,11.81200,6.31270,8.02870
0.18400,11.81200,6.31300,8.01580
0.18600,11.81200,6.31320,8.00290
0.18800,11.81300,6.31340,7.98990
0.19000,11.81300,6.31370,7.97670
0.19200,11.81300,6.31390,7.96360
0.19400,11.81300,6.31410,7.95020
0.19600,11.81400,6.31440,7.93690
0.19800,11.81400,6.31460,7.92350
0.20000,11.81400,6.31480,7.91000
0.20200,11.81400,6.31510,7.89640
0.20400,11.81400,6.31530,7.88280
0.20600,11.81500,6.31560,7.86900
0.20800,11.81500,6.31590,7.85530
0.21000,11.81500,6.31620,7.84140
0.21200,11.81600,6.31650,7.82750
0.21400,11.81600,6.31680,7.81350
0.21600,11.81600,6.31710,7.79940
0.21800,11.81600,6.31740,7.78540
0.22000,11.81700,6.31770,7.77130
0.22200,11.81700,6.31800,7.75720
0.22400,11.81700,6.31830,7.74300
0.22600,11.81800,6.31870,7.72880
0.22800,11.81800,6.31900,7.71450
0.23000,11.81800,6.31940,7.70010
0.23200,11.81900,6.31980,7.68580
0.23400,11.81900,6.32020,7.67130
0.23600,11.82000,6.32060,7.65680
0.23800,11.82000,6.32100,7.64230
0.24000,11.82000,6.32140,7.62770
0.24200,11.82100,6.32180,7.61310
0.24400,11.82100,6.32230,7.59830
0.24600,11.82200,6.32270,7.58360
0.24800,11.82200,6.32320,7.56890
0.25000,11.82200,6.32370,7.55400
0.25200,11.82300,6.32420,7.53900
0.25400,11.82300,6.32470,7.52420
0.25600,11.82400,6.32520,7.50920
0.25800,11.82400,6.32570,7.49410
0.26000,11.82500,6.32630,7.47900
0.26200,11.82600,6.32680,7.46390
0.26400,11.82600,6.32740,7.44870
0.26600,11.82700,6.32800,7.43340
0.26800,11.82700,6.32860,7.41830
0.27000,11.82800,6.32920,7.40290
0.27200,11.82800,6.32980,7.38750
0.27400,11.82900,6.33040,7.37220
0.27600,11.83000,6.33100,7.35680
0.27800,11.83000,6.33160,7.34140
0.28000,11.83100,6.33230,7.32590
0.28200,11.83100,6.33290,7.31050
