t,x,y,z
0.00400,11.80000,5.70000,9.30000
0.00600,11.80000,5.70000,9.29960
0.00800,11.80000,5.70000,9.29910
0.01000,11.80000,5.70000,9.29840
0.01200,11.80000,5.70000,9.29750
0.01400,11.80000,5.70000,9.29630
0.01600,11.80000,5.70010,9.29500
0.01800,11.80000,5.70010,9.29350
0.02000,11.80000,5.70010,9.29170
0.02200,11.80000,5.70020,9.28980
0.02400,11.80000,5.70020,9.28770
0.02600,11.80000,5.70020,9.28530
0.02800,11.80000,5.70020,9.28280
0.03000,11.80000,5.70030,9.28010
0.03200,11.80000,5.70030,9.27720
0.03400,11.80000,5.70030,9.27420
0.03600,11.80000,5.70040,9.27100
0.03800,11.80000,5.70040,9.26760
0.04000,11.80000,5.70050,9.26410
0.04200,11.80000,5.70050,9.26030
0.04400,11.80000,5.70060,9.25640
0.04600,11.80000,5.70060,9.25230
0.04800,11.80000,5.70070,9.24810
0.05000,11.80000,5.70080,9.24370
0.05200,11.79900,5.70080,9.23920
0.05400,11.79900,5.70090,9.23450
0.05600,11.79900,5.70100,9.22960
0.05800,11.79900,5.70100,9.22460
0.06000,11.79900,5.70110,9.21940
0.06200,11.79900,5.70120,9.21410
0.06400,11.79900,5.70130,9.20860
0.06600,11.79900,5.70140,9.20290
0.06800,11.79900,5.70150,9.19720
0.07000,11.79900,5.70160,9.19130
0.07200,11.79900,5.70160,9.18520
0.07400,11.79900,5.70170,9.17900
0.07600,11.79900,5.70180,9.17260
0.07800,11.79900,5.70190,9.16610
0.08000,11.79800,5.70210,9.15950
0.08200,11.79800,5.70220,9.15270
0.08400,11.79800,5.70230,9.14590
0.08600,11.79800,5.70240,9.13880
0.08800,11.79800,5.70250,9.13170
0.09000,11.79800,5.70260,9.12440
0.09200,11.79800,5.70280,9.11700
0.09400,11.79800,5.70290,9.10940
0.09600,11.79800,5.70300,9.10170
0.09800,11.79700,5.70320,9.09400
0.10000,11.79700,5.70330,9.08610
0.10200,11.79700,5.70340,9.07810
0.10400,11.79700,5.70360,9.06990
0.10600,11.79700,5.70370,9.06160
0.10800,11.79700,5.70390,9.05320
0.11000,11.79700,5.70400,9.04470
0.11200,11.79700,5.70420,9.03600
0.11400,11.79600,5.70430,9.02730
0.11600,11.79600,5.70450,9.01840
0.11800,11.79600,5.70470,9.00940
0.12000,11.79600,5.70480,9.00030
0.12200,11.79600,5.70500,8.99120
0.12400,11.79600,5.70520,8.98190
0.12600,11.79500,5.70530,8.97250
0.12800,11.79500,5.70550,8.96300
0.13000,11.79500,5.70570,8.95340
0.13200,11.79500,5.70590,8.94370
0.13400,11.79500,5.70600,8.93390
0.13600,11.79500,5.70620,8.92400
0.13800,11.79400,5.70640,8.91400
0.14000,11.79400,5.70660,8.90390
0.14200,11.79400,5.70680,8.89380
0.14400,11.79400,5.70700,8.88350
0.14600,11.79400,5.70710,8.87310
0.14800,11.79400,5.70730,8.86270
0.15000,11.79400,5.70750,8.85210
0.15200,11.79300,5.70770,8.84150
0.15400,11.79300,5.70790,8.83080
0.15600,11.79300,5.70800,8.81990
0.15800,11.79300,5.70820,8.80900
0.16000,11.79300,5.70840,8.79800
0.16200,11.79300,5.70860,8.78690
0.16400,11.79200,5.70880,8.77570
0.16600,11.79200,5.70890,8.76450
0.16800,11.79200,5.70910,8.75310
0.17000,11.79200,5.70920,8.74170
0.17200,11.79200,5.70940,8.73010
0.17400,11.79200,5.70960,8.71850
0.17600,11.79200,5.70970,8.70680
0.17800,11.79200,5.70980,8.69500
0.18000,11.79100,5.71000,8.68310
0.18200,11.79100,5.71010,8.67120
0.18400,11.79100,5.71030,8.65910
0.18600,11.79100,5.71040,8.64700
0.18800,11.79100,5.71050,8.63480
0.19000,11.79100,5.71060,8.62250
0.19200,11.79100,5.71070,8.61020
0.19400,11.79100,5.71080,8.59770
0.19600,11.79100,5.71090,8.58520
0.19800,11.79100,5.71100,8.57260
0.20000,11.79100,5.71110,8.55990
0.20200,11.79100,5.71120,8.54710
0.20400,11.79100,5.71130,8.53420
0.20600,11.79100,5.71140,8.52130
0.20800,11.79100,5.71140,8.50820
0.21000,11.79100,5.71150,8.49510
0.21200,11.79000,5.71160,8.48190
0.21400,11.79000,5.71160,8.46860
0.21600,11.79000,5.71170,8.45520
0.21800,11.79000,5.71170,8.44180
0.22000,11.79000,5.71180,8.42820
0.22200,11.79000,5.71180,8.41460
0.22400,11.79000,5.71180,8.40090
0.22600,11.79000,5.71180,8.38710
0.22800,11.79000,5.71190,8.37320
0.23000,11.79000,5.71190,8.35920
0.23200,11.79000,5.71190,8.34510
0.23400,11.79000,5.71190,8.33100
0.23600,11.79000,5.71190,8.31680
0.23800,11.79000,5.71180,8.30250
0.24000,11.79000,5.71180,8.28810
0.24200,11.79000,5.71180,8.27360
0.24400,11.79000,5.71180,8.25910
0.24600,11.79100,5.71170,8.24440
0.24800,11.79100,5.71170,8.22970
0.25000,11.79100,5.71160,8.21490
0.25200,11.79100,5.71160,8.20000
0.25400,11.79100,5.71150,8.18500
0.25600,11.79100,5.71150,8.17000
0.25800,11.79100,5.71140,8.15490
0.26000,11.79100,5.71130,8.13960
0.26200,11.79100,5.71130,8.12430
0.26400,11.79100,5.71120,8.10890
0.26600,11.79100,5.71110,8.09350
0.26800,11.79100,5.71100,8.07790
0.27000,11.79100,5.71090,8.06230
0.27200,11.79100,5.71090,8.04650
0.27400,11.79100,5.71080,8.03080
0.27600,11.79100,5.71070,8.01490
0.27800,11.79100,5.71060,7.99890
0.28000,11.79100,5.71050,7.98290
0.28200,11.79100,5.71040,7.96670
0.28400,11.79200,5.71020,7.95060
0.28600,11.79200,5.71010,7.93430
0.28800,11.79200,5.71000,7.91790
0.29000,11.79200,5.70990,7.90150
0.29200,11.79200,5.70980,7.88500
0.29400,11.79200,5.70970,7.86840
0.29600,11.79200,5.70960,7.85170
0.29800,11.79200,5.70950,7.83500
0.30000,11.79200,5.70940,7.81820
0.30200,11.79200,5.70940,7.80130
0.30400,11.79200,5.70930,7.78440
0.30600,11.79200,5.70920,7.76730
0.30800,11.79200,5.70910,7.75030
0.31000,11.79200,5.70910,7.73310
0.31200,11.79200,5.70900,7.71590
0.31400,11.79200,5.70900,7.69860
0.31600,11.79300,5.70890,7.68130
0.31800,11.79300,5.70890,7.66380
0.32000,11.79300,5.70890,7.64640
0.32200,11.79300,5.70880,7.62890
0.32400,11.79300,5.70880,7.61120
0.32600,11.79300,5.70880,7.59360
0.32800,11.79300,5.70880,7.57580
0.33000,11.79300,5.70880,7.55800
0.33200,11.79300,5.70880,7.54020
0.33400,11.79300,5.70880,7.52230
0.33600,11.79300,5.70880,7.50430
0.33800,11.79300,5.70890,7.48630
0.34000,11.79300,5.70890,7.46820
0.34200,11.79300,5.70890,7.45010
0.34400,11.79300,5.70890,7.43190
0.34600,11.79300,5.70900,7.41370
0.34800,11.79300,5.70900,7.39540
0.35000,11.79300,5.70900,7.37710
0.35200,11.79300,5.70910,7.35880
0.35400,11.79300,5.70910,7.34040
0.35600,11.79300,5.70910,7.32200
0.35800,11.79400,5.70910,7.30350
0.36000,11.79400,5.70910,7.28510
0.36200,11.79400,5.70910,7.26650
0.36400,11.79400,5.70900,7.24810
0.36600,11.79400,5.70900,7.22950
0.36800,11.79400,5.70890,7.21090
0.37000,11.79400,5.70880,7.19240
0.37200,11.79400,5.70870,7.17380
0.37400,11.79500,5.70860,7.15520
0.37600,11.79500,5.70850,7.13660
0.37800,11.79500,5.70830,7.11790
0.38000,11.79500,5.70820,7.09920
0.38200,11.79600,5.70810,7.08050
0.38400,11.79600,5.70790,7.06170
0.38600,11.79600,5.70780,7.04300
0.38800,11.79700,5.70750,7.02420
0.39000,11.79700,5.70740,7.00540
0.39200,11.79800,5.70720,6.98670
0.39400,11.79800,5.70690,6.96790
0.39600,11.79800,5.70670,6.94910
0.39800,11.79900,5.70640,6.93050
0.40000,11.79900,5.70620,6.91180
0.40200,11.80000,5.70600,6.89320
0.40400,11.80000,5.70570,6.87460
0.40600,11.80100,5.70550,6.85600
0.40800,11.80200,5.70520,6.83750
0.41000,11.80200,5.70490,6.81900
0.41200,11.80300,5.70470,6.80070
0.41400,11.80300,5.70420,6.78250
0.41600,11.80400,5.70370,6.76450
0.41800,11.80500,5.70290,6.74670
0.42000,11.80600,5.70190,6.72920
0.42200,11.80700,5.70050,6.71210
0.42400,11.80800,5.69870,6.69540
0.42600,11.80900,5.69650,6.67910
0.42800,11.81000,5.69390,6.66330
0.43000,11.81100,5.69090,6.64790
0.43200,11.81200,5.68770,6.63300
0.43400,11.81400,5.68420,6.61860
0.43600,11.81500,5.68030,6.60470
0.43800,11.81600,5.67630,6.59120
0.44000,11.81800,5.67200,6.57830
0.44200,11.81900,5.66760,6.56570
0.44400,11.82100,5.66300,6.55370
0.44600,11.82200,5.65820,6.54200
0.44800,11.82400,5.65330,6.53070
0.45000,11.82600,5.64820,6.51960
0.45200,11.82700,5.64300,6.50880
0.45400,11.82900,5.63770,6.49810
0.45600,11.83100,5.63230,6.48770
0.45800,11.83300,5.62670,6.47750
0.46000,11.83500,5.62110,6.46740
0.46200,11.83700,5.61550,6.45740
0.46400,11.83900,5.60970,6.44730
0.46600,11.84100,5.60380,6.43740
0.46800,11.84400,5.59790,6.42740
0.47000,11.84600,5.59200,6.41740
0.47200,11.84800,5.58590,6.40740
0.47400,11.85100,5.57990,6.39750
0.47600,11.85300,5.57380,6.38740
0.47800,11.85600,5.56770,6.37740
0.48000,11.85800,5.56160,6.36730
0.48200,11.86100,5.55540,6.35720
0.48400,11.86300,5.54920,6.34710
0.48600,11.86500,5.54300,6.33690
0.48800,11.86800,5.53680,6.32660
0.49000,11.87100,5.53050,6.31620
0.49200,11.87300,5.52430,6.30580
0.49400,11.87600,5.51800,6.29530
0.49600,11.87800,5.51180,6.28470
0.49800,11.88100,5.50540,6.27400
0.50000,11.88300,5.49910,6.26330
0.50200,11.88600,5.49270,6.25250
0.50400,11.88800,5.48640,6.24160
0.50600,11.89100,5.47990,6.23070
0.50800,11.89300,5.47350,6.21980
0.51000,11.89500,5.46700,6.20880
0.51200,11.89800,5.46040,6.19780
0.51400,11.90000,5.45370,6.18690
0.51600,11.90200,5.44690,6.17600
0.51800,11.90400,5.43990,6.16540
0.52000,11.90600,5.43280,6.15480
0.52200,11.90800,5.42550,6.14450
0.52400,11.91000,5.41790,6.13440
0.52600,11.91100,5.41010,6.12470
0.52800,11.91200,5.40210,6.11540
0.53000,11.91300,5.39370,6.10650
0.53200,11.91400,5.38520,6.09790
0.53400,11.91400,5.37630,6.08970
0.53600,11.91500,5.36720,6.08180
0.53800,11.91500,5.35790,6.07440
0.54000,11.91500,5.34830,6.06740
0.54200,11.91400,5.33850,6.06050
0.54400,11.91400,5.32860,6.05400
0.54600,11.91300,5.31840,6.04770
0.54800,11.91300,5.30820,6.04160
0.55000,11.91200,5.29790,6.03570
0.55200,11.91100,5.28750,6.03000
0.55400,11.91000,5.27700,6.02440
0.55600,11.90900,5.26650,6.01890
0.55800,11.90800,5.25590,6.01360
0.56000,11.90600,5.24530,6.00840
0.56200,11.90500,5.23470,6.00310
0.56400,11.90400,5.22410,5.99800
0.56600,11.90200,5.21340,5.99280
0.56800,11.90100,5.20290,5.98760
0.57000,11.90000,5.19230,5.98250
0.57200,11.89800,5.18170,5.97740
0.57400,11.89700,5.17120,5.97230
0.57600,11.89500,5.16070,5.96710
0.57800,11.89400,5.15020,5.96190
0.58000,11.89200,5.13990,5.95660
0.58200,11.89100,5.12960,5.95130
0.58400,11.88900,5.11930,5.94590
0.58600,11.88700,5.10910,5.94050
0.58800,11.88600,5.09890,5.93500
0.59000,11.88400,5.08890,5.92950
0.59200,11.88300,5.07880,5.92390
0.59400,11.88100,5.06890,5.91820
0.59600,11.87900,5.05900,5.91250
0.59800,11.87800,5.04910,5.90670
0.60000,11.87600,5.03930,5.90080
0.60200,11.87500,5.02960,5.89480
0.60400,11.87300,5.01990,5.88880
0.60600,11.87100,5.01030,5.88270
0.60800,11.86900,5.00070,5.87650
0.61000,11.86800,4.99120,5.87030
0.61200,11.86600,4.98170,5.86400
0.61400,11.86400,4.97230,5.85780
0.61600,11.86300,4.96290,5.85150
0.61800,11.86100,4.95360,5.84520
0.62000,11.85900,4.94430,5.83890
0.62200,11.85700,4.93500,5.83280
0.62400,11.85500,4.92570,5.82660
0.62600,11.85300,4.91650,5.82060
0.62800,11.85100,4.90720,5.81470
0.63000,11.84900,4.89790,5.80900
0.63200,11.84700,4.88860,5.80340
0.63400,11.84400,4.87940,5.79810
0.63600,11.84200,4.87020,5.79300
0.63800,11.83900,4.86090,5.78820
0.64000,11.83700,4.85170,5.78370
0.64200,11.83400,4.84250,5.77940
0.64400,11.83200,4.83320,5.77540
0.64600,11.82900,4.82400,5.77180
0.64800,11.82600,4.81470,5.76840
0.65000,11.82300,4.80550,5.76540
0.65200,11.82100,4.79630,5.76270
0.65400,11.81800,4.78710,5.76030
0.65600,11.81500,4.77800,5.75820
0.65800,11.81200,4.76880,5.75630
0.66000,11.80900,4.75980,5.75470
0.66200,11.80600,4.75070,5.75320
0.66400,11.80300,4.74170,5.75200
0.66600,11.79900,4.73280,5.75090
0.66800,11.79600,4.72380,5.75000
0.67000,11.79300,4.71500,5.74930
0.67200,11.79000,4.70620,5.74860
0.67400,11.78700,4.69740,5.74800
0.67600,11.78400,4.68860,5.74750
0.67800,11.78000,4.67980,5.74700
0.68000,11.77700,4.67110,5.74650
0.68200,11.77400,4.66250,5.74600
0.68400,11.77000,4.65390,5.74550
0.68600,11.76700,4.64530,5.74500
0.68800,11.76400,4.63670,5.74430
0.69000,11.76000,4.62820,5.74370
0.69200,11.75700,4.61970,5.74300
0.69400,11.75400,4.61130,5.74230
0.69600,11.75000,4.60290,5.74150
0.69800,11.74700,4.59450,5.74070
0.70000,11.74400,4.58620,5.73990
0.70200,11.74000,4.57790,5.73900
0.70400,11.73700,4.56970,5.73800
0.70600,11.73400,4.56140,5.73690
0.70800,11.73000,4.55320,5.73580
0.71000,11.72700,4.54500,5.73460
0.71200,11.72400,4.53680,5.73330
0.71400,11.72000,4.52860,5.73190
0.71600,11.71700,4.52050,5.73040
0.71800,11.71400,4.51240,5.72890
0.72000,11.71100,4.50430,5.72720
0.72200,11.70700,4.49620,5.72550
0.72400,11.70400,4.48810,5.72370
0.72600,11.70100,4.48010,5.72170
0.72800,11.69700,4.47210,5.71970
0.73000,11.69400,4.46400,5.71750
0.73200,11.69100,4.45600,5.71530
0.73400,11.68700,4.44810,5.71290
0.73600,11.68400,4.44010,5.71040
0.73800,11.68100,4.43210,5.70780
0.74000,11.67800,4.42420,5.70510
0.74200,11.67400,4.41620,5.70220
0.74400,11.67100,4.40830,5.69930
0.74600,11.66800,4.40040,5.69630
0.74800,11.66400,4.39250,5.69320
0.75000,11.66100,4.38470,5.69000
0.75200,11.65800,4.37680,5.68670
0.75400,11.65400,4.36900,5.68330
0.75600,11.65100,4.36110,5.67980
0.75800,11.64800,4.35330,5.67620
0.76000,11.64400,4.34550,5.67250
0.76200,11.64100,4.33770,5.66880
0.76400,11.63800,4.32990,5.66500
0.76600,11.63400,4.32220,5.66120
0.76800,11.63100,4.31440,5.65720
0.77000,11.62800,4.30670,5.65320
0.77200,11.62400,4.29890,5.64910
0.77400,11.62100,4.29120,5.64480
0.77600,11.61700,4.28340,5.64050
0.77800,11.61400,4.27570,5.63620
0.78000,11.61100,4.26790,5.63180
0.78200,11.60700,4.26020,5.62730
0.78400,11.60400,4.25250,5.62270
0.78600,11.60000,4.24480,5.61820
0.78800,11.59700,4.23710,5.61350
0.79000,11.59300,4.22930,5.60880
0.79200,11.59000,4.22160,5.60400
0.79400,11.58600,4.21390,5.59900
0.79600,11.58300,4.20620,5.59410
0.79800,11.57900,4.19850,5.58900
0.80000,11.57600,4.19080,5.58380
0.80200,11.57300,4.18320,5.57860
0.80400,11.56900,4.17550,5.57330
0.80600,11.56600,4.16780,5.56790
0.80800,11.56200,4.16020,5.56240
0.81000,11.55900,4.15260,5.55690
0.81200,11.55500,4.14490,5.55120
0.81400,11.55200,4.13730,5.54550
0.81600,11.54800,4.12980,5.53970
0.81800,11.54500,4.12220,5.53370
0.82000,11.54100,4.11460,5.52770
0.82200,11.53700,4.10710,5.52150
0.82400,11.53400,4.09960,5.51530
0.82600,11.53000,4.09210,5.50890
0.82800,11.52700,4.08460,5.50250
0.83000,11.52300,4.07720,5.49590
0.83200,11.52000,4.06980,5.48920
0.83400,11.51600,4.06240,5.48240
0.83600,11.51300,4.05510,5.47550
0.83800,11.50900,4.04770,5.46850
0.84000,11.50600,4.04040,5.46140
0.84200,11.50200,4.03320,5.45410
0.84400,11.49900,4.02600,5.44670
0.84600,11.49500,4.01880,5.43920
0.84800,11.49200,4.01170,5.43150
0.85000,11.48800,4.00460,5.42380
0.85200,11.48400,3.99750,5.41580
0.85400,11.48100,3.99060,5.40780
0.85600,11.47700,3.98360,5.39960
0.85800,11.47400,3.97680,5.39130
0.86000,11.47000,3.97000,5.38290
0.86200,11.46700,3.96320,5.37430
0.86400,11.46300,3.95650,5.36560
0.86600,11.46000,3.94990,5.35680
0.86800,11.45600,3.94330,5.34780
0.87000,11.45200,3.93680,5.33870
0.87200,11.44900,3.93030,5.32950
0.87400,11.44500,3.92380,5.32010
0.87600,11.44200,3.91750,5.31060
0.87800,11.43800,3.91120,5.30090
0.88000,11.43500,3.90500,5.29110
0.88200,11.43100,3.89880,5.28120
0.88400,11.42800,3.89270,5.27110
0.88600,11.42400,3.88660,5.26090
0.88800,11.42100,3.88060,5.25050
