t,x,y,z
0.00400,11.80000,6.30000,8.70000
0.00600,11.80000,6.30000,8.69960
0.00800,11.80000,6.30000,8.69910
0.01000,11.80000,6.30000,8.69840
0.01200,11.80000,6.30010,8.69740
0.01400,11.80000,6.30010,8.69620
0.01600,11.80000,6.30010,8.69490
0.01800,11.80000,6.30020,8.69330
0.02000,11.80000,6.30020,8.69150
0.02200,11.80000,6.30030,8.68950
0.02400,11.80000,6.30030,8.68740
0.02600,11.80000,6.30040,8.68500
0.02800,11.80000,6.30050,8.68240
0.03000,11.80000,6.30050,8.67960
0.03200,11.80100,6.30060,8.67670
0.03400,11.80100,6.30070,8.67360
0.03600,11.80100,6.30080,8.67030
0.03800,11.80100,6.30090,8.66680
0.04000,11.80100,6.30100,8.66320
0.04200,11.80100,6.30110,8.65930
0.04400,11.80100,6.30120,8.65530
0.04600,11.80100,6.30130,8.65110
0.04800,11.80100,6.30140,8.64670
0.05000,11.80100,6.30150,8.64220
0.05200,11.80100,6.30160,8.63750
0.05400,11.80200,6.30170,8.63260
0.05600,11.80200,6.30180,8.62760
0.05800,11.80200,6.30190,8.62240
0.06000,11.80200,6.30200,8.61700
0.06200,11.80200,6.30220,8.61150
0.06400,11.80200,6.30230,8.60580
0.06600,11.80200,6.30240,8.59990
0.06800,11.80200,6.30250,8.59390
0.07000,11.80200,6.30270,8.58780
0.07200,11.80300,6.30280,8.58140
0.07400,11.80300,6.30290,8.57490
0.07600,11.80300,6.30300,8.56830
0.07800,11.80300,6.30320,8.56150
0.08000,11.80300,6.30330,8.55450
0.08200,11.80300,6.30340,8.54740
0.08400,11.80300,6.30360,8.54010
0.08600,11.80300,6.30370,8.53270
0.08800,11.80400,6.30380,8.52510
0.09000,11.80400,6.30400,8.51740
0.09200,11.80400,6.30410,8.50950
0.09400,11.80400,6.30430,8.50150
0.09600,11.80400,6.30440,8.49330
0.09800,11.80400,6.30460,8.48500
0.10000,11.80400,6.30470,8.47660
0.10200,11.80500,6.30480,8.46790
0.10400,11.80500,6.30500,8.45920
0.10600,11.80500,6.30520,8.45030
0.10800,11.80500,6.30530,8.44140
0.11000,11.80500,6.30550,8.43220
0.11200,11.80500,6.30560,8.42300
0.11400,11.80600,6.30580,8.41360
0.11600,11.80600,6.30600,8.40410
0.11800,11.80600,6.30610,8.39450
0.12000,11.80600,6.30630,8.38470
0.12200,11.80600,6.30650,8.37490
0.12400,11.80600,6.30660,8.36490
0.12600,11.80700,6.30680,8.35470
0.12800,11.80700,6.30700,8.34450
0.13000,11.80700,6.30720,8.33410
0.13200,11.80700,6.30740,8.32360
0.13400,11.80700,6.30750,8.31300
0.13600,11.80700,6.30770,8.30230
0.13800,11.80800,6.30790,8.29150
0.14000,11.80800,6.30810,8.28050
0.14200,11.80800,6.30820,8.26950
0.14400,11.80800,6.30850,8.25830
0.14600,11.80800,6.30860,8.24710
0.14800,11.80800,6.30880,8.23570
0.15000,11.80900,6.30900,8.22420
0.15200,11.80900,6.30920,8.21270
0.15400,11.80900,6.30940,8.20100
0.15600,11.80900,6.30960,8.18940
0.15800,11.80900,6.30980,8.17750
0.16000,11.81000,6.31000,8.16550
0.16200,11.81000,6.31030,8.15350
0.16400,11.81000,6.31050,8.14140
0.16600,11.81000,6.31070,8.12920
0.16800,11.81000,6.31090,8.11690
0.17000,11.81100,6.31120,8.10460
0.17200,11.81100,6.31140,8.09220
0.17400,11.81100,6.31160,8.07970
0.17600,11.81100,6.31190,8.06710
0.17800,11.81200,6.31210,8.05440
0.18000,11.81200,6.31230,8.04170
0.18200,11.81200,6.31260,8.02890
0.18400,11.81200,6.31280,8.01610
0.18600,11.81200,6.31310,8.00310
0.18800,11.81300,6.31330,7.99020
0.19000,11.81300,6.31350,7.97700
0.19200,11.81300,6.31380,7.96390
0.19400,11.81300,6.31400,7.95060
0.19600,11.81400,6.31430,7.93730
0.19800,11.81400,6.31450,7.92380
0.20000,11.81400,6.31480,7.91030
0.20200,11.81400,6.31510,7.89680
0.20400,11.81500,6.31530,7.88310
0.20600,11.81500,6.31560,7.86940
0.20800,11.81500,6.31590,7.85570
0.21000,11.81600,6.31620,7.84180
0.21200,11.81600,6.31650,7.82790
0.21400,11.81600,6.31680,7.81390
0.21600,11.81600,6.31710,7.79980
0.21800,11.81700,6.31740,7.78580
0.22000,11.81700,6.31780,7.77170
0.22200,11.81700,6.31810,7.75760
0.22400,11.81800,6.31840,7.74340
0.22600,11.81800,6.31880,7.72920
0.22800,11.81900,6.31920,7.71490
0.23000,11.81900,6.31960,7.70060
0.23200,11.81900,6.31990,7.68620
0.23400,11.82000,6.32030,7.67180
0.23600,11.82000,6.32080,7.65730
0.23800,11.82000,6.32120,7.64260
0.24000,11.82100,6.32160,7.62810
0.24200,11.82100,6.32210,7.61340
0.24400,11.82200,6.32250,7.59860
0.24600,11.82200,6.32300,7.58390
0.24800,11.82300,6.32350,7.56920
0.25000,11.82300,6.32400,7.55430
0.25200,11.82400,6.32450,7.53930
0.25400,11.82400,6.32510,7.52450
0.25600,11.82500,6.32560,7.50950
0.25800,11.82500,6.32620,7.49440
0.26000,11.82600,6.32670,7.47930
0.26200,11.82600,6.32730,7.46420
0.26400,11.82700,6.32790,7.44890
0.26600,11.82800,6.32850,7.43370
0.26800,11.82800,6.32910,7.41850
0.27000,11.82900,6.32970,7.40320
0.27200,11.82900,6.33040,7.38780
0.27400,11.83000,6.33100,7.37250
0.27600,11.83100,6.33160,7.35710
0.27800,11.83100,6.33230,7.34170
0.28000,11.83200,6.33300,7.32630
0.28200,11.83300,6.33370,7.31080
