t,x,y,z
0.00400,11.20000,6.30000,8.70000
0.00600,11.20000,6.30000,8.69960
0.00800,11.20000,6.30000,8.69910
0.01000,11.20000,6.30000,8.69840
0.01200,11.20000,6.30010,8.69740
0.01400,11.20000,6.30010,8.69630
0.01600,11.20000,6.30020,8.69490
0.01800,11.20000,6.30020,8.69330
0.02000,11.20000,6.30030,8.69160
0.02200,11.20000,6.30030,8.68960
0.02400,11.20000,6.30040,8.68740
0.02600,11.20000,6.30050,8.68500
0.02800,11.20000,6.30050,8.68250
0.03000,11.20000,6.30060,8.67970
0.03200,11.20000,6.30070,8.67670
0.03400,11.19900,6.30080,8.67360
0.03600,11.19900,6.30090,8.67040
0.03800,11.19900,6.30100,8.66690
0.04000,11.19900,6.30110,8.66320
0.04200,11.19900,6.30120,8.65940
0.04400,11.19900,6.30130,8.65540
0.04600,11.19900,6.30140,8.65120
0.04800,11.19900,6.30150,8.64680
0.05000,11.19900,6.30160,8.64230
0.05200,11.19900,6.30170,8.63760
0.05400,11.19900,6.30180,8.63270
0.05600,11.19800,6.30190,8.62770
0.05800,11.19800,6.30210,8.62250
0.06000,11.19800,6.30220,8.61710
0.06200,11.19800,6.30230,8.61160
0.06400,11.19800,6.30240,8.60590
0.06600,11.19800,6.30260,8.60000
0.06800,11.19800,6.30270,8.59400
0.07000,11.19800,6.30280,8.58790
0.07200,11.19800,6.30300,8.58150
0.07400,11.19700,6.30310,8.57500
0.07600,11.19700,6.30320,8.56840
0.07800,11.19700,6.30340,8.56160
0.08000,11.19700,6.30350,8.55460
0.08200,11.19700,6.30360,8.54760
0.08400,11.19700,6.30380,8.54030
0.08600,11.19700,6.30390,8.53290
0.08800,11.19700,6.30400,8.52530
0.09000,11.19700,6.30420,8.51750
0.09200,11.19600,6.30430,8.50970
0.09400,11.19600,6.30450,8.50160
0.09600,11.19600,6.30460,8.49350
0.09800,11.19600,6.30480,8.48520
0.10000,11.19600,6.30490,8.47670
0.10200,11.19600,6.30510,8.46810
0.10400,11.19600,6.30530,8.45940
0.10600,11.19500,6.30540,8.45050
0.10800,11.19500,6.30560,8.44160
0.11000,11.19500,6.30570,8.43240
0.11200,11.19500,6.30590,8.42320
0.11400,11.19500,6.30610,8.41380
0.11600,11.19500,6.30620,8.40430
0.11800,11.19400,6.30640,8.39470
0.12000,11.19400,6.30660,8.38490
0.12200,11.19400,6.30670,8.37510
0.12400,11.19400,6.30690,8.36510
0.12600,11.19400,6.30710,8.35490
0.12800,11.19400,6.30730,8.34470
0.13000,11.19400,6.30750,8.33440
0.13200,11.19300,6.30760,8.32390
0.13400,11.19300,6.30790,8.31330
0.13600,11.19300,6.30800,8.30260
0.13800,11.19300,6.30820,8.29180
0.14000,11.19300,6.30840,8.28090
0.14200,11.19300,6.30860,8.26980
0.14400,11.19200,6.30880,8.25870
0.14600,11.19200,6.30900,8.24740
0.14800,11.19200,6.30920,8.23610
0.15000,11.19200,6.30940,8.22460
