 x, y, z, s
   11.1535177     ,   6.61719656     ,   9.03032398     ,   2.24438381    
   11.1524601     ,   6.59356022     ,   9.02430248     ,   2.26879835    
   11.1514568     ,   6.56994534     ,   9.01812935     ,   2.29322696    
   11.1505079     ,   6.54635239     ,   9.01180458     ,   2.31767154    
   11.1496134     ,   6.52278042     ,   9.00533009     ,   2.34213281    
   11.1487703     ,   6.49923086     ,   8.99870777     ,   2.36661029    
   11.1479778     ,   6.47570324     ,   8.99193859     ,   2.39110518    
   11.1472378     ,   6.45219660     ,   8.98502541     ,   2.41561890    
   11.1465454     ,   6.42871189     ,   8.97796822     ,   2.44015074    
   11.1459026     ,   6.40524817     ,   8.97076988     ,   2.46470189    
   11.1453066     ,   6.38180637     ,   8.96343327     ,   2.48927259    
   11.1447563     ,   6.35838556     ,   8.95595741     ,   2.51386333    
   11.1442518     ,   6.33498573     ,   8.94834614     ,   2.53847528    
   11.1437922     ,   6.31160736     ,   8.94059944     ,   2.56310797    
   11.1433754     ,   6.28825045     ,   8.93271923     ,   2.58776188    
   11.1430006     ,   6.26491451     ,   8.92470837     ,   2.61243701    
   11.1426678     ,   6.24159956     ,   8.91656685     ,   2.63713503    
   11.1423759     ,   6.21830606     ,   8.90829754     ,   2.66185474    
   11.1421223     ,   6.19503307     ,   8.89990234     ,   2.68659711    
   11.1419086     ,   6.17178106     ,   8.89138222     ,   2.71136141    
   11.1417313     ,   6.14854956     ,   8.88273907     ,   2.73614931    
   11.1415901     ,   6.12533951     ,   8.87397385     ,   2.76096010    
   11.1414852     ,   6.10214996     ,   8.86508942     ,   2.78579354    
   11.1414137     ,   6.07898092     ,   8.85608578     ,   2.81065035    
   11.1413755     ,   6.05583286     ,   8.84696674     ,   2.83553052    
   11.1413708     ,   6.03270483     ,   8.83773232     ,   2.86043382    
   11.1413975     ,   6.00959778     ,   8.82838440     ,   2.88536000    
   11.1414547     ,   5.98651123     ,   8.81892586     ,   2.91030931    
   11.1415405     ,   5.96344471     ,   8.80935574     ,   2.93528199    
   11.1416550     ,   5.94039917     ,   8.79967880     ,   2.96027708    
   11.1417971     ,   5.91737366     ,   8.78989506     ,   2.98529553    
   11.1419659     ,   5.89436817     ,   8.78000546     ,   3.01033735    
   11.1421604     ,   5.87138271     ,   8.77001381     ,   3.03540111    
   11.1423779     ,   5.84841776     ,   8.75992012     ,   3.06048775    
