t,x,y,z
0.00800,11.20000,6.30000,8.70000
0.01200,11.20000,6.30000,8.69860
0.01600,11.20000,6.30010,8.69680
0.02000,11.20000,6.30010,8.69430
0.02400,11.20000,6.30020,8.69130
0.02800,11.20000,6.30040,8.68770
0.03200,11.20000,6.30050,8.68360
0.03600,11.19900,6.30070,8.67910
0.04000,11.19900,6.30080,8.67420
0.04400,11.19900,6.30100,8.66890
0.04800,11.19900,6.30120,8.66310
0.05200,11.19900,6.30140,8.65700
0.05600,11.19900,6.30160,8.65060
0.06000,11.19800,6.30190,8.64380
0.06400,11.19800,6.30210,8.63680
0.06800,11.19800,6.30240,8.62930
0.07200,11.19800,6.30270,8.62160
0.07600,11.19700,6.30310,8.61360
0.08000,11.19700,6.30340,8.60520
0.08400,11.19700,6.30380,8.59660
0.08800,11.19600,6.30410,8.58770
0.09200,11.19600,6.30450,8.57860
0.09600,11.19600,6.30490,8.56910
0.10000,11.19500,6.30530,8.55940
0.10400,11.19500,6.30580,8.54950
0.10800,11.19400,6.30630,8.53940
0.11200,11.19400,6.30670,8.52890
0.11600,11.19300,6.30720,8.51830
0.12000,11.19300,6.30780,8.50740
0.12400,11.19200,6.30830,8.49630
0.12800,11.19200,6.30890,8.48490
0.13200,11.19100,6.30950,8.47330
0.13600,11.19100,6.31010,8.46170
0.14000,11.19000,6.31080,8.44970
0.14400,11.18900,6.31140,8.43770
0.14800,11.18900,6.31210,8.42530
0.15200,11.18800,6.31290,8.41290
0.15600,11.18700,6.31360,8.40020
0.16000,11.18700,6.31440,8.38730
0.16400,11.18600,6.31520,8.37410
0.16800,11.18500,6.31600,8.36090
0.17200,11.18400,6.31690,8.34740
0.17600,11.18300,6.31780,8.33380
0.18000,11.18200,6.31870,8.32010
0.18400,11.18200,6.31970,8.30630
0.18800,11.18100,6.32060,8.29230
0.19200,11.18000,6.32160,8.27810
0.19600,11.17900,6.32270,8.26400
0.20000,11.17800,6.32370,8.24950
0.20400,11.17700,6.32480,8.23480
0.20800,11.17500,6.32590,8.22020
0.21200,11.17400,6.32710,8.20550
0.21600,11.17300,6.32830,8.19040
0.22000,11.17200,6.32950,8.17540
0.22400,11.17100,6.33070,8.16040
0.22800,11.17000,6.33200,8.14510
0.23200,11.16800,6.33330,8.12980
0.23600,11.16700,6.33470,8.11440
0.24000,11.16600,6.33600,8.09890
0.24400,11.16400,6.33740,8.08330
0.24800,11.16300,6.33890,8.06760
0.25200,11.16200,6.34030,8.05180
0.25600,11.16000,6.34180,8.03610
0.26000,11.15900,6.34330,8.02020
0.26400,11.15700,6.34490,8.00440
0.26800,11.15600,6.34640,7.98840
0.27200,11.15400,6.34800,7.97250
0.27600,11.15200,6.34970,7.95650
0.28000,11.15100,6.35130,7.94050
0.28400,11.14900,6.35300,7.92440
0.28800,11.14800,6.35470,7.90830
0.29200,11.14600,6.35650,7.89200
0.29600,11.14400,6.35820,7.87580
0.30000,11.14200,6.36010,7.85940
0.30400,11.14100,6.36190,7.84290
0.30800,11.13900,6.36380,7.82620
0.31200,11.13700,6.36570,7.80950
0.31600,11.13500,6.36760,7.79270
0.32000,11.13300,6.36960,7.77580
0.32400,11.13100,6.37160,7.75880
0.32800,11.12900,6.37360,7.74170
0.33200,11.12700,6.37570,7.72450
0.33600,11.12500,6.37780,7.70730
0.34000,11.12300,6.37990,7.68990
0.34400,11.12100,6.38210,7.67250
0.34800,11.11900,6.38420,7.65500
0.35200,11.11700,6.38640,7.63750
0.35600,11.11400,6.38870,7.61980
0.36000,11.11200,6.39090,7.60210
0.36400,11.11000,6.39320,7.58450
0.36800,11.10800,6.39550,7.56680
0.37200,11.10500,6.39790,7.54900
0.37600,11.10300,6.40020,7.53130
0.38000,11.10100,6.40260,7.51350
0.38400,11.09800,6.40500,7.49570
0.38800,11.09600,6.40750,7.47780
0.39200,11.09300,6.41000,7.45970
0.39600,11.09100,6.41250,7.44160
0.40000,11.08800,6.41510,7.42330
0.40400,11.08600,6.41770,7.40480
0.40800,11.08300,6.42030,7.38620
0.41200,11.08100,6.42300,7.36740
0.41600,11.07800,6.42570,7.34860
0.42000,11.07500,6.42840,7.32950
0.42400,11.07200,6.43120,7.31050
0.42800,11.06900,6.43400,7.29130
0.43200,11.06700,6.43680,7.27210
0.43600,11.06400,6.43970,7.25270
0.44000,11.06100,6.44260,7.23340
0.44400,11.05800,6.44550,7.21410
0.44800,11.05500,6.44840,7.19480
0.45200,11.05200,6.45140,7.17560
0.45600,11.04900,6.45440,7.15610
0.46000,11.04600,6.45750,7.13690
0.46400,11.04200,6.46050,7.11740
0.46800,11.03900,6.46360,7.09790
0.47200,11.03600,6.46660,7.07830
0.47600,11.03300,6.46970,7.05870
0.48000,11.03000,6.47280,7.03900
0.48400,11.02600,6.47590,7.01920
0.48800,11.02300,6.47910,6.99940
0.49200,11.02000,6.48230,6.97950
0.49600,11.01600,6.48550,6.95980
0.50000,11.01300,6.48860,6.93990
0.50400,11.01000,6.49190,6.92020
0.50800,11.00600,6.49510,6.90050
0.51200,11.00300,6.49830,6.88100
0.51600,10.99900,6.50160,6.86150
0.52000,10.99500,6.50480,6.84210
0.52400,10.99200,6.50810,6.82280
0.52800,10.98800,6.51140,6.80330
0.53200,10.98500,6.51470,6.78380
0.53600,10.98100,6.51800,6.76440
0.54000,10.97700,6.52140,6.74480
0.54400,10.97300,6.52470,6.72510
0.54800,10.97000,6.52800,6.70580
0.55200,10.96600,6.53130,6.68620
0.55600,10.96200,6.53460,6.66700
