t,x,y,z
0.00800,11.80000,5.70000,8.70000
0.01200,11.80000,5.70000,8.69860
0.01600,11.80000,5.69990,8.69680
0.02000,11.80000,5.69990,8.69430
0.02400,11.80000,5.69980,8.69130
0.02800,11.80000,5.69980,8.68770
0.03200,11.80000,5.69970,8.68370
0.03600,11.80100,5.69960,8.67920
0.04000,11.80100,5.69950,8.67420
0.04400,11.80100,5.69930,8.66900
0.04800,11.80100,5.69910,8.66320
0.05200,11.80100,5.69900,8.65710
0.05600,11.80200,5.69870,8.65070
0.06000,11.80200,5.69850,8.64400
0.06400,11.80200,5.69830,8.63690
0.06800,11.80200,5.69810,8.62950
0.07200,11.80300,5.69790,8.62180
0.07600,11.80300,5.69760,8.61370
0.08000,11.80300,5.69730,8.60540
0.08400,11.80400,5.69700,8.59690
0.08800,11.80400,5.69660,8.58800
0.09200,11.80400,5.69630,8.57880
0.09600,11.80500,5.69600,8.56940
0.10000,11.80500,5.69560,8.55970
0.10400,11.80600,5.69520,8.54980
0.10800,11.80600,5.69470,8.53970
0.11200,11.80700,5.69430,8.52920
0.11600,11.80700,5.69390,8.51860
0.12000,11.80800,5.69330,8.50780
0.12400,11.80800,5.69280,8.49660
0.12800,11.80900,5.69230,8.48530
0.13200,11.80900,5.69180,8.47380
0.13600,11.81000,5.69120,8.46210
0.14000,11.81100,5.69060,8.45020
0.14400,11.81100,5.69000,8.43810
0.14800,11.81200,5.68930,8.42580
0.15200,11.81300,5.68860,8.41340
0.15600,11.81300,5.68790,8.40070
0.16000,11.81400,5.68720,8.38790
0.16400,11.81500,5.68650,8.37480
0.16800,11.81600,5.68570,8.36150
0.17200,11.81700,5.68490,8.34810
0.17600,11.81800,5.68400,8.33460
0.18000,11.81800,5.68320,8.32090
0.18400,11.81900,5.68220,8.30700
0.18800,11.82000,5.68130,8.29300
0.19200,11.82100,5.68040,8.27890
0.19600,11.82200,5.67940,8.26470
0.20000,11.82300,5.67840,8.25030
0.20400,11.82500,5.67730,8.23570
0.20800,11.82600,5.67630,8.22110
0.21200,11.82700,5.67510,8.20640
0.21600,11.82800,5.67400,8.19140
0.22000,11.82900,5.67280,8.17640
0.22400,11.83000,5.67160,8.16140
0.22800,11.83200,5.67040,8.14610
0.23200,11.83300,5.66920,8.13090
0.23600,11.83400,5.66790,8.11550
0.24000,11.83600,5.66660,8.10000
0.24400,11.83700,5.66520,8.08440
0.24800,11.83800,5.66380,8.06870
0.25200,11.84000,5.66250,8.05300
0.25600,11.84100,5.66100,8.03720
0.26000,11.84300,5.65960,8.02140
0.26400,11.84400,5.65810,8.00550
0.26800,11.84600,5.65660,7.98960
0.27200,11.84800,5.65510,7.97360
0.27600,11.84900,5.65350,7.95760
0.28000,11.85100,5.65200,7.94160
0.28400,11.85200,5.65030,7.92560
0.28800,11.85400,5.64870,7.90950
0.29200,11.85600,5.64700,7.89320
0.29600,11.85800,5.64530,7.87700
0.30000,11.85900,5.64360,7.86060
0.30400,11.86100,5.64180,7.84410
0.30800,11.86300,5.64000,7.82750
0.31200,11.86500,5.63820,7.81090
0.31600,11.86700,5.63630,7.79410
0.32000,11.86900,5.63450,7.77710
0.32400,11.87100,5.63250,7.76020
0.32800,11.87300,5.63060,7.74310
0.33200,11.87500,5.62870,7.72590
0.33600,11.87700,5.62660,7.70870
0.34000,11.87900,5.62460,7.69130
0.34400,11.88100,5.62250,7.67390
0.34800,11.88300,5.62050,7.65650
0.35200,11.88500,5.61830,7.63890
0.35600,11.88700,5.61610,7.62120
0.36000,11.89000,5.61390,7.60350
0.36400,11.89200,5.61170,7.58590
0.36800,11.89400,5.60940,7.56810
0.37200,11.89600,5.60720,7.55040
0.37600,11.89900,5.60490,7.53260
0.38000,11.90100,5.60250,7.51490
0.38400,11.90300,5.60010,7.49700
0.38800,11.90600,5.59770,7.47930
0.39200,11.90800,5.59530,7.46120
0.39600,11.91100,5.59280,7.44310
0.40000,11.91300,5.59020,7.42480
0.40400,11.91600,5.58760,7.40640
0.40800,11.91800,5.58500,7.38780
0.41200,11.92100,5.58230,7.36910
0.41600,11.92400,5.57960,7.35020
0.42000,11.92600,5.57680,7.33110
0.42400,11.92900,5.57400,7.31210
0.42800,11.93200,5.57110,7.29270
0.43200,11.93400,5.56820,7.27340
0.43600,11.93700,5.56530,7.25400
0.44000,11.94000,5.56230,7.23440
0.44400,11.94300,5.55920,7.21500
0.44800,11.94600,5.55620,7.19540
0.45200,11.94900,5.55310,7.17600
0.45600,11.95200,5.55000,7.15650
0.46000,11.95500,5.54690,7.13710
0.46400,11.95700,5.54370,7.11750
0.46800,11.96000,5.54050,7.09790
0.47200,11.96300,5.53730,7.07830
0.47600,11.96600,5.53400,7.05870
0.48000,11.96900,5.53070,7.03880
0.48400,11.97200,5.52740,7.01900
0.48800,11.97600,5.52400,6.99900
0.49200,11.97900,5.52060,6.97890
0.49600,11.98200,5.51720,6.95910
0.50000,11.98500,5.51380,6.93900
0.50400,11.98800,5.51020,6.91920
0.50800,11.99100,5.50680,6.89930
0.51200,11.99400,5.50320,6.87960
0.51600,11.99700,5.49970,6.86000
0.52000,12.00000,5.49610,6.84040
0.52400,12.00300,5.49250,6.82090
0.52800,12.00700,5.48880,6.80130
0.53200,12.01000,5.48510,6.78160
0.53600,12.01300,5.48130,6.76190
0.54000,12.01600,5.47750,6.74200
0.54400,12.01900,5.47360,6.72210
0.54800,12.02300,5.46980,6.70220
0.55200,12.02600,5.46590,6.68220
0.55600,12.02900,5.46190,6.66230
0.56000,12.03200,5.45800,6.64230
0.56400,12.03600,5.45400,6.62240
0.56800,12.03900,5.45000,6.60250
0.57200,12.04200,5.44600,6.58270
0.57600,12.04600,5.44200,6.56300
0.58000,12.04900,5.43790,6.54330
0.58400,12.05200,5.43380,6.52360
0.58800,12.05600,5.42970,6.50390
0.59200,12.05900,5.42560,6.48410
0.59600,12.06200,5.42140,6.46430
0.60000,12.06600,5.41730,6.44440
0.60400,12.06900,5.41300,6.42460
0.60800,12.07200,5.40870,6.40470
0.61200,12.07600,5.40440,6.38500
0.61600,12.07900,5.40000,6.36520
0.62000,12.08200,5.39560,6.34550
0.62400,12.08600,5.39120,6.32590
0.62800,12.08900,5.38660,6.30640
0.63200,12.09200,5.38200,6.28690
0.63600,12.09500,5.37720,6.26760
0.64000,12.09900,5.37240,6.24840
0.64400,12.10200,5.36730,6.22940
0.64800,12.10400,5.36200,6.21100
0.65200,12.10700,5.35620,6.19330
0.65600,12.10900,5.34970,6.17640
0.66000,12.11000,5.34260,6.16030
0.66400,12.11100,5.33450,6.14540
0.66800,12.11100,5.32550,6.13160
0.67200,12.11100,5.31550,6.11910
0.67600,12.10900,5.30460,6.10760
0.68000,12.10700,5.29230,6.09720
0.68400,12.10500,5.27920,6.08740
0.68800,12.10200,5.26510,6.07850
0.69200,12.09900,5.25010,6.07000
0.69600,12.09600,5.23410,6.06170
0.70000,12.09200,5.21760,6.05350
0.70400,12.08800,5.20060,6.04540
0.70800,12.08500,5.18340,6.03740
0.71200,12.08100,5.16580,6.02950
0.71600,12.07700,5.14800,6.02150
0.72000,12.07300,5.13020,6.01350
0.72400,12.06900,5.11250,6.00560
0.72800,12.06500,5.09510,5.99760
0.73200,12.06100,5.07790,5.98970
0.73600,12.05800,5.06110,5.98170
0.74000,12.05400,5.04470,5.97380
0.74400,12.05100,5.02850,5.96590
0.74800,12.04700,5.01290,5.95790
0.75200,12.04400,4.99750,5.94980
0.75600,12.04100,4.98270,5.94170
0.76000,12.03800,4.96810,5.93340
0.76400,12.03500,4.95380,5.92500
0.76800,12.03200,4.93980,5.91650
0.77200,12.03000,4.92620,5.90790
0.77600,12.02700,4.91290,5.89910
0.78000,12.02400,4.89980,5.89020
0.78400,12.02200,4.88700,5.88120
0.78800,12.01900,4.87450,5.87230
0.79200,12.01700,4.86220,5.86330
0.79600,12.01500,4.85020,5.85440
0.80000,12.01200,4.83830,5.84570
0.80400,12.01000,4.82670,5.83700
0.80800,12.00700,4.81510,5.82860
0.81200,12.00500,4.80380,5.82050
0.81600,12.00200,4.79260,5.81280
0.82000,12.00000,4.78150,5.80540
0.82400,11.99700,4.77060,5.79860
0.82800,11.99400,4.75970,5.79220
0.83200,11.99100,4.74890,5.78650
0.83600,11.98800,4.73820,5.78140
0.84000,11.98500,4.72740,5.77700
0.84400,11.98200,4.71670,5.77310
0.84800,11.97800,4.70600,5.76970
0.85200,11.97500,4.69540,5.76690
0.85600,11.97100,4.68490,5.76460
0.86000,11.96700,4.67450,5.76280
0.86400,11.96400,4.66430,5.76140
0.86800,11.96000,4.65400,5.76030
0.87200,11.95600,4.64380,5.75940
0.87600,11.95300,4.63360,5.75860
0.88000,11.94900,4.62350,5.75780
0.88400,11.94600,4.61340,5.75720
0.88800,11.94200,4.60350,5.75660
0.89200,11.93900,4.59360,5.75590
0.89600,11.93500,4.58380,5.75520
0.90000,11.93200,4.57400,5.75450
0.90400,11.92900,4.56420,5.75360
0.90800,11.92600,4.55450,5.75260
0.91200,11.92300,4.54470,5.75150
0.91600,11.92000,4.53500,5.75020
0.92000,11.91700,4.52530,5.74880
0.92400,11.91400,4.51560,5.74730
0.92800,11.91100,4.50590,5.74550
0.93200,11.90800,4.49620,5.74370
0.93600,11.90500,4.48650,5.74160
0.94000,11.90300,4.47670,5.73940
0.94400,11.90000,4.46690,5.73710
0.94800,11.89800,4.45710,5.73460
0.95200,11.89500,4.44720,5.73200
0.95600,11.89300,4.43730,5.72930
0.96000,11.89100,4.42730,5.72650
0.96400,11.88800,4.41730,5.72350
0.96800,11.88600,4.40720,5.72050
0.97200,11.88400,4.39720,5.71740
0.97600,11.88200,4.38720,5.71410
0.98000,11.88000,4.37720,5.71090
0.98400,11.87800,4.36720,5.70760
0.98800,11.87600,4.35730,5.70420
0.99200,11.87400,4.34740,5.70070
0.99600,11.87200,4.33750,5.69720
1.00000,11.87000,4.32770,5.69370
1.00400,11.86800,4.31800,5.69010
1.00800,11.86600,4.30830,5.68650
1.01200,11.86400,4.29860,5.68290
1.01600,11.86300,4.28890,5.67920
1.02000,11.86100,4.27930,5.67560
1.02400,11.85900,4.26970,5.67190
1.02800,11.85700,4.26020,5.66820
1.03200,11.85500,4.25080,5.66450
1.03600,11.85300,4.24150,5.66080
1.04000,11.85100,4.23220,5.65710
1.04400,11.84900,4.22290,5.65330
1.04800,11.84700,4.21370,5.64940
1.05200,11.84500,4.20450,5.64550
1.05600,11.84200,4.19550,5.64160
1.06000,11.84000,4.18640,5.63760
1.06400,11.83800,4.17740,5.63360
1.06800,11.83600,4.16850,5.62940
1.07200,11.83400,4.15970,5.62530
1.07600,11.83200,4.15080,5.62100
1.08000,11.83000,4.14190,5.61670
1.08400,11.82800,4.13320,5.61230
1.08800,11.82500,4.12440,5.60780
1.09200,11.82300,4.11560,5.60320
1.09600,11.82100,4.10690,5.59850
1.10000,11.81900,4.09830,5.59380
1.10400,11.81700,4.08970,5.58900
1.10800,11.81400,4.08110,5.58410
1.11200,11.81200,4.07260,5.57920
1.11600,11.81000,4.06400,5.57410
1.12000,11.80800,4.05550,5.56890
1.12400,11.80500,4.04700,5.56370
1.12800,11.80300,4.03860,5.55840
1.13200,11.80100,4.03030,5.55300
1.13600,11.79800,4.02200,5.54740
1.14000,11.79600,4.01370,5.54180
1.14400,11.79400,4.00550,5.53610
1.14800,11.79100,3.99720,5.53030
1.15200,11.78900,3.98900,5.52450
1.15600,11.78700,3.98070,5.51860
1.16000,11.78400,3.97250,5.51250
1.16400,11.78200,3.96430,5.50630
1.16800,11.77900,3.95610,5.50010
1.17200,11.77700,3.94790,5.49370
1.17600,11.77400,3.93970,5.48710
1.18000,11.77200,3.93160,5.48060
1.18400,11.76900,3.92350,5.47390
1.18800,11.76700,3.91540,5.46710
1.19200,11.76500,3.90730,5.46010
1.19600,11.76200,3.89920,5.45310
1.20000,11.76000,3.89120,5.44590
1.20400,11.75700,3.88320,5.43870
1.20800,11.75500,3.87520,5.43120
1.21200,11.75200,3.86720,5.42360
1.21600,11.75000,3.85930,5.41590
1.22000,11.74700,3.85140,5.40800
1.22400,11.74500,3.84350,5.40010
1.22800,11.74200,3.83570,5.39190
1.23200,11.74000,3.82780,5.38360
1.23600,11.73800,3.82010,5.37510
1.24000,11.73500,3.81230,5.36640
1.24400,11.73300,3.80470,5.35760
1.24800,11.73000,3.79710,5.34860
1.25200,11.72800,3.78950,5.33940
1.25600,11.72600,3.78200,5.33010
1.26000,11.72400,3.77460,5.32060
1.26400,11.72100,3.76720,5.31100
1.26800,11.71900,3.76000,5.30110
1.27200,11.71700,3.75280,5.29110
1.27600,11.71500,3.74560,5.28090
1.28000,11.71200,3.73860,5.27060
1.28400,11.71000,3.73150,5.26020
1.28800,11.70800,3.72460,5.24950
1.29200,11.70600,3.71790,5.23880
1.29600,11.70400,3.71110,5.22780
1.30000,11.70200,3.70440,5.21680
1.30400,11.70000,3.69790,5.20560
1.30800,11.69800,3.69130,5.19440
1.31200,11.69600,3.68490,5.18290
1.31600,11.69400,3.67860,5.17130
1.32000,11.69300,3.67230,5.15950
1.32400,11.69100,3.66610,5.14750
1.32800,11.68900,3.66000,5.13540
1.33200,11.68700,3.65390,5.12320
1.33600,11.68500,3.64800,5.11090
1.34000,11.68400,3.64210,5.09840
1.34400,11.68200,3.63630,5.08590
1.34800,11.68000,3.63060,5.07310
1.35200,11.67900,3.62500,5.06020
1.35600,11.67700,3.61950,5.04710
1.36000,11.67600,3.61400,5.03390
