t,x,y,z
0.00800,11.20000,6.30000,9.30000
0.01200,11.20000,6.30000,9.29860
0.01600,11.20000,6.30000,9.29680
0.02000,11.20000,6.30000,9.29440
0.02400,11.20000,6.29990,9.29140
0.02800,11.20000,6.29990,9.28790
0.03200,11.20000,6.29990,9.28390
0.03600,11.20000,6.29980,9.27950
0.04000,11.20000,6.29970,9.27460
0.04400,11.20000,6.29970,9.26940
0.04800,11.20100,6.29960,9.26380
0.05200,11.20100,6.29950,9.25780
0.05600,11.20100,6.29930,9.25150
0.06000,11.20100,6.29920,9.24490
0.06400,11.20100,6.29910,9.23800
0.06800,11.20100,6.29890,9.23070
0.07200,11.20100,6.29880,9.22320
0.07600,11.20200,6.29860,9.21540
0.08000,11.20200,6.29850,9.20720
0.08400,11.20200,6.29830,9.19880
0.08800,11.20200,6.29810,9.19020
0.09200,11.20200,6.29790,9.18120
0.09600,11.20300,6.29770,9.17210
0.10000,11.20300,6.29750,9.16270
0.10400,11.20300,6.29730,9.15300
0.10800,11.20300,6.29710,9.14320
0.11200,11.20300,6.29690,9.13300
0.11600,11.20400,6.29670,9.12270
0.12000,11.20400,6.29650,9.11200
0.12400,11.20400,6.29630,9.10120
0.12800,11.20400,6.29610,9.09020
0.13200,11.20500,6.29600,9.07900
0.13600,11.20500,6.29580,9.06760
0.14000,11.20500,6.29560,9.05590
0.14400,11.20500,6.29540,9.04410
0.14800,11.20500,6.29530,9.03200
0.15200,11.20500,6.29520,9.01980
0.15600,11.20600,6.29500,9.00740
0.16000,11.20600,6.29490,8.99470
0.16400,11.20600,6.29480,8.98190
0.16800,11.20600,6.29470,8.96890
0.17200,11.20600,6.29460,8.95580
0.17600,11.20600,6.29450,8.94250
0.18000,11.20600,6.29440,8.92890
0.18400,11.20600,6.29440,8.91520
0.18800,11.20700,6.29430,8.90140
0.19200,11.20700,6.29430,8.88730
0.19600,11.20700,6.29430,8.87310
0.20000,11.20700,6.29430,8.85870
0.20400,11.20700,6.29430,8.84420
0.20800,11.20700,6.29430,8.82950
0.21200,11.20700,6.29440,8.81460
0.21600,11.20600,6.29450,8.79960
0.22000,11.20600,6.29460,8.78440
0.22400,11.20600,6.29470,8.76910
0.22800,11.20600,6.29480,8.75360
0.23200,11.20600,6.29500,8.73790
0.23600,11.20600,6.29510,8.72210
0.24000,11.20600,6.29530,8.70610
0.24400,11.20600,6.29550,8.69010
0.24800,11.20600,6.29570,8.67380
0.25200,11.20500,6.29600,8.65740
0.25600,11.20500,6.29630,8.64090
0.26000,11.20500,6.29660,8.62430
0.26400,11.20500,6.29690,8.60750
0.26800,11.20400,6.29720,8.59070
0.27200,11.20400,6.29760,8.57370
0.27600,11.20400,6.29800,8.55660
0.28000,11.20300,6.29840,8.53940
0.28400,11.20300,6.29890,8.52200
0.28800,11.20200,6.29930,8.50450
0.29200,11.20200,6.29980,8.48700
0.29600,11.20200,6.30040,8.46920
0.30000,11.20100,6.30090,8.45140
0.30400,11.20100,6.30150,8.43360
0.30800,11.20000,6.30210,8.41560
0.31200,11.19900,6.30280,8.39740
0.31600,11.19900,6.30340,8.37930
0.32000,11.19800,6.30410,8.36090
0.32400,11.19800,6.30480,8.34240
0.32800,11.19700,6.30560,8.32380
0.33200,11.19600,6.30640,8.30510
0.33600,11.19500,6.30720,8.28630
0.34000,11.19500,6.30810,8.26740
0.34400,11.19400,6.30900,8.24830
0.34800,11.19300,6.30990,8.22920
0.35200,11.19200,6.31090,8.20990
0.35600,11.19100,6.31190,8.19050
0.36000,11.19000,6.31290,8.17110
0.36400,11.18900,6.31400,8.15150
0.36800,11.18800,6.31520,8.13190
0.37200,11.18700,6.31630,8.11210
0.37600,11.18600,6.31760,8.09230
0.38000,11.18500,6.31880,8.07230
0.38400,11.18300,6.32010,8.05240
0.38800,11.18200,6.32140,8.03230
0.39200,11.18100,6.32280,8.01230
0.39600,11.17900,6.32420,7.99220
0.40000,11.17800,6.32560,7.97210
0.40400,11.17700,6.32700,7.95200
0.40800,11.17500,6.32860,7.93180
0.41200,11.17400,6.33010,7.91180
0.41600,11.17200,6.33170,7.89170
0.42000,11.17100,6.33330,7.87150
0.42400,11.16900,6.33490,7.85150
0.42800,11.16800,6.33660,7.83130
0.43200,11.16600,6.33830,7.81130
0.43600,11.16500,6.34000,7.79120
0.44000,11.16300,6.34180,7.77110
0.44400,11.16100,6.34350,7.75120
0.44800,11.15900,6.34540,7.73120
0.45200,11.15800,6.34730,7.71130
0.45600,11.15600,6.34910,7.69150
0.46000,11.15400,6.35110,7.67160
0.46400,11.15200,6.35300,7.65180
0.46800,11.15000,6.35500,7.63220
0.47200,11.14800,6.35700,7.61230
0.47600,11.14600,6.35900,7.59260
0.48000,11.14400,6.36110,7.57270
0.48400,11.14200,6.36310,7.55290
0.48800,11.14000,6.36530,7.53300
0.49200,11.13800,6.36740,7.51310
0.49600,11.13600,6.36960,7.49310
0.50000,11.13400,6.37170,7.47310
