t,x,y,z
0.00800,11.80000,5.70000,9.30000
0.01200,11.80000,5.70000,9.29860
0.01600,11.80000,5.70000,9.29680
0.02000,11.80000,5.70000,9.29440
0.02400,11.80000,5.70010,9.29140
0.02800,11.80000,5.70020,9.28790
0.03200,11.80000,5.70030,9.28390
0.03600,11.80000,5.70030,9.27950
0.04000,11.80000,5.70040,9.27460
0.04400,11.80000,5.70050,9.26940
0.04800,11.80000,5.70060,9.26380
0.05200,11.79900,5.70080,9.25780
0.05600,11.79900,5.70090,9.25150
0.06000,11.79900,5.70110,9.24500
0.06400,11.79900,5.70120,9.23800
0.06800,11.79900,5.70140,9.23070
0.07200,11.79900,5.70160,9.22320
0.07600,11.79900,5.70180,9.21540
0.08000,11.79800,5.70200,9.20720
0.08400,11.79800,5.70220,9.19880
0.08800,11.79800,5.70240,9.19020
0.09200,11.79800,5.70260,9.18130
0.09600,11.79800,5.70280,9.17210
0.10000,11.79700,5.70300,9.16270
0.10400,11.79700,5.70330,9.15300
0.10800,11.79700,5.70350,9.14320
0.11200,11.79700,5.70370,9.13300
0.11600,11.79700,5.70400,9.12260
0.12000,11.79600,5.70420,9.11200
0.12400,11.79600,5.70440,9.10120
0.12800,11.79600,5.70460,9.09020
0.13200,11.79600,5.70480,9.07890
0.13600,11.79600,5.70500,9.06750
0.14000,11.79500,5.70530,9.05590
0.14400,11.79500,5.70550,9.04400
0.14800,11.79500,5.70570,9.03200
0.15200,11.79500,5.70590,9.01970
0.15600,11.79500,5.70600,9.00730
0.16000,11.79500,5.70620,8.99470
0.16400,11.79400,5.70640,8.98190
0.16800,11.79400,5.70650,8.96890
0.17200,11.79400,5.70670,8.95570
0.17600,11.79400,5.70680,8.94230
0.18000,11.79400,5.70690,8.92880
0.18400,11.79400,5.70700,8.91510
0.18800,11.79400,5.70710,8.90120
0.19200,11.79400,5.70710,8.88710
0.19600,11.79400,5.70720,8.87290
0.20000,11.79400,5.70720,8.85860
0.20400,11.79400,5.70730,8.84400
0.20800,11.79400,5.70730,8.82930
0.21200,11.79400,5.70720,8.81440
0.21600,11.79400,5.70720,8.79940
0.22000,11.79400,5.70720,8.78420
0.22400,11.79400,5.70710,8.76890
0.22800,11.79400,5.70700,8.75340
