t,x,y,z
0.00400,11.20000,6.30000,9.30000
0.00600,11.20000,6.30000,9.29960
0.00800,11.20000,6.30000,9.29910
0.01000,11.20000,6.30000,9.29840
0.01200,11.20000,6.30000,9.29750
0.01400,11.20000,6.30000,9.29630
0.01600,11.20000,6.30000,9.29500
0.01800,11.20000,6.30000,9.29350
0.02000,11.20000,6.30000,9.29170
0.02200,11.20000,6.30000,9.28980
0.02400,11.20000,6.30000,9.28760
0.02600,11.20000,6.30000,9.28530
0.02800,11.20000,6.30000,9.28280
0.03000,11.20000,6.29990,9.28010
0.03200,11.20000,6.29990,9.27720
0.03400,11.20000,6.29990,9.27420
0.03600,11.20000,6.29990,9.27100
0.03800,11.20000,6.29990,9.26760
0.04000,11.20000,6.29980,9.26410
0.04200,11.20000,6.29980,9.26030
0.04400,11.20100,6.29980,9.25640
0.04600,11.20100,6.29970,9.25230
0.04800,11.20100,6.29970,9.24810
0.05000,11.20100,6.29960,9.24370
0.05200,11.20100,6.29960,9.23910
0.05400,11.20100,6.29950,9.23440
0.05600,11.20100,6.29950,9.22950
0.05800,11.20100,6.29940,9.22450
0.06000,11.20100,6.29940,9.21930
0.06200,11.20100,6.29930,9.21400
0.06400,11.20100,6.29920,9.20850
0.06600,11.20100,6.29920,9.20290
0.06800,11.20100,6.29910,9.19710
0.07000,11.20100,6.29900,9.19120
0.07200,11.20200,6.29890,9.18510
0.07400,11.20200,6.29890,9.17890
0.07600,11.20200,6.29880,9.17260
0.07800,11.20200,6.29870,9.16610
0.08000,11.20200,6.29860,9.15940
0.08200,11.20200,6.29850,9.15260
0.08400,11.20200,6.29840,9.14580
0.08600,11.20200,6.29830,9.13870
0.08800,11.20200,6.29820,9.13160
0.09000,11.20200,6.29810,9.12430
0.09200,11.20300,6.29800,9.11690
0.09400,11.20300,6.29790,9.10930
0.09600,11.20300,6.29780,9.10160
0.09800,11.20300,6.29760,9.09390
0.10000,11.20300,6.29750,9.08600
0.10200,11.20300,6.29740,9.07800
0.10400,11.20300,6.29730,9.06980
0.10600,11.20400,6.29710,9.06150
0.10800,11.20400,6.29700,9.05310
0.11000,11.20400,6.29690,9.04460
0.11200,11.20400,6.29670,9.03590
0.11400,11.20400,6.29660,9.02720
0.11600,11.20400,6.29650,9.01830
0.11800,11.20400,6.29630,9.00940
0.12000,11.20500,6.29610,9.00030
0.12200,11.20500,6.29600,8.99110
0.12400,11.20500,6.29580,8.98180
0.12600,11.20500,6.29570,8.97240
0.12800,11.20500,6.29550,8.96290
0.13000,11.20500,6.29540,8.95330
0.13200,11.20600,6.29520,8.94360
0.13400,11.20600,6.29510,8.93380
0.13600,11.20600,6.29490,8.92400
0.13800,11.20600,6.29470,8.91400
0.14000,11.20600,6.29460,8.90390
0.14200,11.20700,6.29440,8.89370
0.14400,11.20700,6.29420,8.88350
0.14600,11.20700,6.29410,8.87310
0.14800,11.20700,6.29390,8.86270
0.15000,11.20700,6.29370,8.85220
0.15200,11.20700,6.29360,8.84150
0.15400,11.20800,6.29340,8.83080
0.15600,11.20800,6.29330,8.82000
0.15800,11.20800,6.29310,8.80910
0.16000,11.20800,6.29300,8.79810
0.16200,11.20800,6.29280,8.78700
0.16400,11.20800,6.29270,8.77580
0.16600,11.20900,6.29250,8.76460
0.16800,11.20900,6.29240,8.75320
0.17000,11.20900,6.29230,8.74180
0.17200,11.20900,6.29210,8.73030
0.17400,11.20900,6.29200,8.71870
0.17600,11.20900,6.29190,8.70700
0.17800,11.20900,6.29180,8.69520
0.18000,11.21000,6.29170,8.68330
0.18200,11.21000,6.29160,8.67140
0.18400,11.21000,6.29150,8.65940
0.18600,11.21000,6.29140,8.64720
0.18800,11.21000,6.29130,8.63510
0.19000,11.21000,6.29120,8.62270
0.19200,11.21000,6.29120,8.61040
0.19400,11.21000,6.29110,8.59790
0.19600,11.21100,6.29100,8.58540
0.19800,11.21100,6.29100,8.57280
0.20000,11.21100,6.29090,8.56010
0.20200,11.21100,6.29090,8.54730
0.20400,11.21100,6.29090,8.53450
0.20600,11.21100,6.29080,8.52150
0.20800,11.21100,6.29080,8.50850
0.21000,11.21100,6.29080,8.49540
0.21200,11.21100,6.29070,8.48220
0.21400,11.21100,6.29070,8.46890
0.21600,11.21100,6.29070,8.45560
0.21800,11.21100,6.29070,8.44210
0.22000,11.21100,6.29070,8.42860
0.22200,11.21100,6.29070,8.41490
0.22400,11.21100,6.29070,8.40120
0.22600,11.21100,6.29070,8.38750
0.22800,11.21100,6.29070,8.37360
0.23000,11.21100,6.29070,8.35960
0.23200,11.21100,6.29080,8.34560
0.23400,11.21100,6.29080,8.33150
0.23600,11.21100,6.29080,8.31720
0.23800,11.21100,6.29080,8.30300
0.24000,11.21100,6.29080,8.28860
0.24200,11.21100,6.29090,8.27410
0.24400,11.21100,6.29090,8.25960
0.24600,11.21100,6.29090,8.24500
0.24800,11.21100,6.29100,8.23030
0.25000,11.21100,6.29100,8.21540
0.25200,11.21100,6.29110,8.20060
0.25400,11.21100,6.29110,8.18560
0.25600,11.21100,6.29120,8.17060
0.25800,11.21100,6.29120,8.15550
0.26000,11.21100,6.29130,8.14030
0.26200,11.21100,6.29130,8.12500
0.26400,11.21000,6.29140,8.10960
0.26600,11.21000,6.29140,8.09410
0.26800,11.21000,6.29150,8.07860
0.27000,11.21000,6.29160,8.06300
0.27200,11.21000,6.29160,8.04730
0.27400,11.21000,6.29170,8.03150
0.27600,11.21000,6.29170,8.01560
0.27800,11.21000,6.29180,7.99970
0.28000,11.21000,6.29180,7.98370
0.28200,11.21000,6.29190,7.96750
0.28400,11.20900,6.29200,7.95140
0.28600,11.20900,6.29200,7.93510
0.28800,11.20900,6.29210,7.91880
0.29000,11.20900,6.29210,7.90240
0.29200,11.20900,6.29220,7.88590
0.29400,11.20900,6.29230,7.86930
0.29600,11.20900,6.29230,7.85260
0.29800,11.20900,6.29230,7.83590
0.30000,11.20900,6.29240,7.81910
0.30200,11.20900,6.29240,7.80230
0.30400,11.20900,6.29250,7.78530
0.30600,11.20900,6.29250,7.76830
0.30800,11.20900,6.29250,7.75120
0.31000,11.20900,6.29250,7.73400
